"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Warendorf","Kreis","Nordrhein-Westfalen","277417",297,19005,6850.7,314,871,1,"de-nw-05570000","51.8702227935","7.95829493253"
"Bielefeld","Kreisfreie Stadt","Nordrhein-Westfalen","333509",421,27261,8174,260.6,869,0,"de-nw-05711000","52.0109486234","8.54074389731"
"Gütersloh","Kreis","Nordrhein-Westfalen","364818",373,32816,8995.2,352.8,1287,0,"de-nw-05754000","51.9317089342","8.35138605299"
"Herford","Kreis","Nordrhein-Westfalen","250547",214,19123,7632.5,337.3,845,1,"de-nw-05758000","52.1675778068","8.64393163854"
"Höxter","Kreis","Nordrhein-Westfalen","139729",165,8038,5752.6,196.8,275,0,"de-nw-05762000","51.6849407394","9.17809149846"
"Lippe","Kreis","Nordrhein-Westfalen","346970",453,29486,8498.1,498.9,1731,0,"de-nw-05766000","51.9814226536","8.95083727251"
"Minden-Lübbecke","Kreis","Nordrhein-Westfalen","310270",355,26738,8617.7,302.3,938,1,"de-nw-05770000","52.3524754985","8.73934839311"
"Paderborn","Kreis","Nordrhein-Westfalen","308335",185,19113,6198.8,271.8,838,0,"de-nw-05774000","51.6641754561","8.7196350334"
"Bochum","Kreisfreie Stadt","Nordrhein-Westfalen","364454",309,25577,7017.9,191.2,697,1,"de-nw-05911000","51.469927372","7.22493523189"
"Dortmund","Kreisfreie Stadt","Nordrhein-Westfalen","587696",442,44622,7592.7,257.8,1515,0,"de-nw-05913000","51.5160775711","7.47490090518"
"Hagen","Kreisfreie Stadt","Nordrhein-Westfalen","188687",362,19108,10126.8,297.8,562,0,"de-nw-05914000","51.348045073","7.49755553757"
"Hamm","Kreisfreie Stadt","Nordrhein-Westfalen","178967",227,15555,8691.5,239.2,428,0,"de-nw-05915000","51.6651743978","7.82358619294"
"Herne","Kreisfreie Stadt","Nordrhein-Westfalen","156940",303,13897,8855,274.6,431,0,"de-nw-05916000","51.5375332354","7.20855761523"
"Ennepe-Ruhr-Kreis","Kreis","Nordrhein-Westfalen","323130",408,20582,6369.6,212.3,686,0,"de-nw-05954000","51.3468447914","7.32402933363"
"Hochsauerlandkreis","Kreis","Nordrhein-Westfalen","259030",227,14398,5558.4,149,386,1,"de-nw-05958000","51.3068253808","8.38507986661"
"Märkischer Kreis","Kreis","Nordrhein-Westfalen","408662",475,32481,7948.1,307.6,1257,3,"de-nw-05962000","51.2626114418","7.71300809906"
"Olpe","Kreis","Nordrhein-Westfalen","133362",179,8503,6375.9,152.2,203,0,"de-nw-05966000","51.0861595881","7.97647726624"
