land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Bulgarien,Bulgaria,Rasgrad,BG,BG324,keine Daten,0,0,0,1,5,11,9,5,17,23,14,23,keine Daten,43,32,14,11,26,27,9,8,15,14,6,10,25,76,138,218,325,422,455,398,339,289,292,298,171,84,73,53,51,51,53,60,62,73,116,165,268,349,342,318,275,214
Bulgarien,Bulgaria,Silistra,BG,BG325,keine Daten,keine Daten,0,3,3,1,1,0,0,-1,-1,0,0,keine Daten,8,14,20,25,29,52,51,34,37,28,18,27,33,33,50,64,123,258,504,699,629,532,465,333,197,167,166,142,109,88,106,115,149,221,355,575,914,982,795,596,380,278
Bulgarien,Bulgaria,Varna,BG,BG331,keine Daten,3,0,0,0,0,0,0,0,0,0,3,12,keine Daten,45,71,76,88,86,62,35,24,27,29,25,26,36,65,94,170,285,456,614,713,755,742,730,580,338,239,216,129,76,66,78,110,146,203,281,451,684,826,872,796,607,438
Bulgarien,Bulgaria,Dobritsch,BG,BG332,3,3,1,0,0,0,0,0,0,1,3,3,1,keine Daten,33,63,90,136,152,123,106,80,42,33,22,23,32,57,67,65,93,147,237,419,476,384,384,345,263,209,158,115,65,40,38,43,81,133,186,282,427,565,614,608,558,444
Bulgarien,Bulgaria,Schumen,BG,BG333,keine Daten,keine Daten,0,0,0,0,0,2,5,12,52,50,20,keine Daten,24,17,8,4,15,34,37,27,19,19,19,23,43,80,172,331,420,480,516,500,443,416,403,318,219,191,184,126,114,119,145,193,268,374,500,586,675,695,626,534,400,284
Bulgarien,Bulgaria,Targowischte,BG,BG334,keine Daten,0,0,0,0,1,1,0,0,0,5,6,4,keine Daten,12,14,5,5,12,11,20,23,16,18,24,84,133,143,325,499,460,399,350,283,237,199,179,171,164,133,94,64,33,32,28,23,24,34,53,86,181,315,415,439,349,286
Bulgarien,Bulgaria,Burgas,BG,BG341,4,4,3,5,2,1,1,0,0,1,1,2,14,keine Daten,31,34,28,20,15,13,11,10,24,37,29,55,71,69,118,167,194,318,505,592,638,713,755,578,279,159,181,162,124,143,207,236,298,423,503,724,891,910,858,658,472,353
Bulgarien,Bulgaria,Sliwen,BG,BG342,keine Daten,5,8,17,18,8,9,12,16,33,49,45,39,keine Daten,62,55,26,22,21,17,8,4,12,22,18,21,36,97,211,244,216,325,404,454,600,647,679,583,310,187,172,132,130,155,198,234,238,284,347,473,568,569,563,477,344,249
Bulgarien,Bulgaria,Jambol,BG,BG343,keine Daten,keine Daten,3,9,26,55,60,54,43,22,13,13,14,keine Daten,25,26,32,33,29,24,33,39,24,38,44,63,81,80,91,140,179,305,499,528,787,888,669,528,303,198,166,94,60,72,149,187,190,242,304,449,606,668,633,515,373,272
Bulgarien,Bulgaria,Stara Sagora,BG,BG344,keine Daten,keine Daten,8,4,2,1,-4,0,4,0,15,19,9,keine Daten,25,28,25,27,20,25,26,23,28,38,38,48,63,79,126,198,265,416,553,674,763,718,623,447,225,151,158,114,95,88,92,108,136,192,258,380,519,586,635,617,503,371
Bulgarien,Bulgaria,Sofia,BG,BG412X,keine Daten,19,15,15,13,10,13,11,7,1,6,17,23,keine Daten,81,102,61,42,35,29,20,18,21,24,22,31,92,143,205,417,657,948,1053,912,759,597,503,363,212,163,158,127,105,125,163,203,264,368,492,663,889,1005,955,773,565,416
Bulgarien,Bulgaria,Blagoewgrad,BG,BG413,-17,5,1,8,14,15,10,13,13,6,7,8,12,keine Daten,53,75,93,113,124,122,89,75,89,109,91,108,115,154,230,306,406,588,738,709,590,538,490,348,200,120,125,115,80,89,149,175,190,258,319,402,553,611,587,494,359,276
Bulgarien,Bulgaria,Pernik,BG,BG414,keine Daten,0,0,3,9,10,7,3,1,13,13,7,13,keine Daten,28,36,35,34,36,29,18,14,8,13,13,21,34,53,99,218,399,625,718,751,743,604,564,480,294,228,219,150,98,100,135,180,242,315,398,525,717,891,832,689,542,398
Bulgarien,Bulgaria,Kjustendil,BG,BG415,keine Daten,keine Daten,14,38,46,18,11,7,2,3,21,67,109,keine Daten,168,153,88,73,43,21,23,26,20,13,12,20,27,33,59,156,283,588,983,1111,1032,869,659,439,243,178,183,149,172,242,359,418,448,536,539,608,731,702,608,530,419,314
Bulgarien,Bulgaria,Plowdiw,BG,BG421,keine Daten,4,1,4,6,3,2,1,0,1,3,6,12,keine Daten,53,68,51,43,46,46,28,22,22,21,20,27,41,79,144,235,315,463,622,676,650,583,544,410,220,152,137,97,81,94,109,135,163,222,287,372,472,548,589,538,438,350
