land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Ungarn,Hungary,Jász-Nagykun-Szolnok,HU,HU322,keine Daten,keine Daten,3,2,1,0,1,1,-2,-2,0,1,0,-1,-1,1,2,1,1,2,2,5,14,44,78,111,115,130,146,228,437,582,593,506,695,894,793,649,434,295,278,229,153,150,158,125,121,153,225,355,527,680,811,824,696,533
Ungarn,Hungary,Szabolcs-Szatmár-Bereg,HU,HU323,keine Daten,keine Daten,3,1,1,0,0,-1,-1,1,1,1,1,1,0,0,0,0,2,8,13,15,32,52,92,107,96,158,214,286,386,499,651,585,580,659,523,411,288,195,214,185,133,122,168,208,257,409,626,866,1032,1087,1072,911,683,467
Ungarn,Hungary,Bács-Kiskun,HU,HU331,keine Daten,keine Daten,1,0,0,0,0,0,0,0,-1,-1,0,0,1,2,1,0,2,3,2,6,21,38,51,59,54,67,100,168,330,516,600,613,771,780,567,468,348,264,284,244,173,179,207,215,282,400,558,784,1070,1201,1130,957,695,481
Ungarn,Hungary,Békés,HU,HU332,keine Daten,keine Daten,2,1,1,1,-2,-2,0,0,1,1,0,0,1,1,0,1,1,1,0,3,10,18,40,63,54,77,110,156,277,423,539,579,979,1151,869,672,397,257,258,196,131,131,122,116,151,223,319,424,575,693,708,652,542,432
Ungarn,Hungary,Csongrád,HU,HU333,keine Daten,keine Daten,6,11,11,3,3,2,0,0,1,1,-2,-1,1,6,6,2,4,3,2,8,35,77,143,166,126,154,192,274,441,534,596,622,777,882,780,724,511,325,329,259,180,166,157,178,280,435,638,878,1037,1073,1003,857,653,457
Ungarn,Hungary,Borsod-Abaúj-Zemplén,HU,HU311,keine Daten,keine Daten,7,2,2,0,0,0,0,0,0,0,0,3,6,6,4,3,3,2,3,7,19,33,61,86,137,198,219,316,415,435,500,587,742,701,488,384,241,161,180,167,133,139,166,211,308,460,609,758,866,925,934,778,595,478
Ungarn,Hungary,Heves,HU,HU312,keine Daten,keine Daten,3,1,1,0,0,-1,-1,0,0,0,0,2,3,1,2,1,0,1,1,4,27,50,54,67,92,135,195,264,308,425,691,663,630,775,652,499,339,224,244,244,192,142,150,169,201,267,415,615,854,1035,1121,1044,822,587
Ungarn,Hungary,Somogy,HU,HU232,keine Daten,keine Daten,3,1,1,1,0,0,0,-2,-2,0,0,0,0,1,2,1,2,2,0,3,21,41,60,89,92,98,115,109,194,380,495,442,519,698,768,699,477,360,429,389,244,206,226,277,477,854,1268,1558,1721,1635,1374,1119,741,437
Ungarn,Hungary,Tolna,HU,HU233,keine Daten,keine Daten,1,1,1,0,0,0,0,-1,-2,0,0,0,0,0,0,2,2,1,2,6,29,56,63,51,42,54,95,125,201,384,516,504,627,848,866,703,415,306,482,455,268,231,260,288,356,489,705,878,968,1105,1213,993,621,403
Ungarn,Hungary,Pest,HU,HU120,keine Daten,keine Daten,13,9,8,6,6,7,6,4,3,2,2,2,2,2,3,2,2,4,5,16,49,84,105,112,114,130,164,239,336,553,699,649,672,723,593,431,284,186,238,209,145,150,180,226,326,579,860,1226,1440,1353,1213,911,624,438
Ungarn,Hungary,Fejér,HU,HU211,keine Daten,keine Daten,38,35,31,16,12,7,3,1,1,0,0,1,0,0,0,0,0,3,5,11,42,86,104,99,86,91,118,169,298,436,449,502,592,604,593,507,331,269,373,333,233,199,168,163,258,491,808,1166,1462,1497,1369,1107,738,501
Ungarn,Hungary,Nógrád,HU,HU313,keine Daten,keine Daten,7,3,1,1,0,5,12,9,2,-1,1,1,0,1,1,0,2,2,3,7,21,52,74,112,177,234,293,452,550,597,862,742,700,972,959,808,471,280,331,292,213,215,242,280,458,807,1118,1373,1594,1508,1214,1039,836,582
Ungarn,Hungary,Budapest,HU,HU110,keine Daten,keine Daten,45,31,24,14,9,12,10,6,4,2,3,2,1,2,2,3,4,6,11,45,112,185,220,215,189,187,214,292,405,630,792,708,640,631,513,378,270,188,211,188,138,146,179,228,332,543,783,1086,1235,1132,993,734,485,335
Island,Iceland,Norðurland Vestra,IS,ISG34,keine Daten,keine Daten,0,0,0,0,0,0,0,0,0,0,keine Daten,keine Daten,0,keine Daten,0,0,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Norðurland Eystra,IS,ISG35,keine Daten,keine Daten,10,-3,0,0,0,0,0,0,0,0,keine Daten,keine Daten,0,keine Daten,0,0,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Höfuðborgarsvæði,IS,ISG31,keine Daten,keine Daten,68,32,6,1,1,0,1,1,2,2,keine Daten,keine Daten,0,keine Daten,0,-1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Vesturland,IS,ISG32,keine Daten,keine Daten,79,73,6,6,6,6,0,0,0,6,keine Daten,keine Daten,6,keine Daten,0,-6,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Vestfirðir,IS,ISG33,keine Daten,keine Daten,637,311,71,0,0,0,0,0,0,0,keine Daten,keine Daten,0,keine Daten,0,0,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Suðurnes,IS,ISG39,keine Daten,keine Daten,18,0,0,0,0,0,0,0,0,0,keine Daten,keine Daten,0,keine Daten,0,0,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Island,IS,IS,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,2,6,22,30,14,30,41,20,16,74,152,182,258,316,249,193,145,78,54,54,54,43,47,43,40,51,44,22,11,9,8,7,4,5,9,15,29,28,20,29,49
Island,Iceland,Austurland,IS,ISG36,keine Daten,keine Daten,15,8,0,0,0,0,0,0,0,0,keine Daten,keine Daten,0,keine Daten,0,0,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Island,Iceland,Suðurland,IS,ISG37,keine Daten,keine Daten,40,37,4,0,0,4,4,0,0,11,keine Daten,keine Daten,11,keine Daten,0,-11,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Irland,Ireland,Border,IE,IE041,keine Daten,160,188,155,156,108,42,36,23,13,8,-2,1,8,5,3,2,5,10,12,10,15,23,26,53,109,171,298,415,448,315,178,169,125,122,141,135,170,281,720,1441,1387,811,513,338,243,186,168,122,101,129,162,150,116,126,150
Irland,Ireland,West,IE,IE042,keine Daten,76,92,70,73,70,49,40,21,9,3,2,0,0,1,2,1,3,4,3,4,5,10,17,30,54,78,134,241,keine Daten,390,298,102,73,61,63,70,69,116,420,830,1185,947,414,298,267,269,231,145,112,115,107,92,87,81,76
Irland,Ireland,Dublin,IE,IE061,keine Daten,298,300,204,205,174,73,51,28,19,10,6,2,1,4,10,11,11,11,15,32,44,56,91,131,153,159,170,221,244,193,159,130,91,97,107,89,119,237,424,1413,1685,893,579,392,347,326,274,236,213,218,235,230,202,162,166
Irland,Ireland,Mid-East,IE,IE062,keine Daten,161,204,151,143,123,32,20,16,8,4,8,12,8,6,7,6,16,49,65,55,38,30,47,60,65,82,138,263,351,257,133,105,98,95,90,81,108,175,415,1105,1241,744,471,320,263,221,201,175,169,177,181,175,152,132,134
Irland,Ireland,Midland,IE,IE063,keine Daten,147,179,110,162,190,101,56,15,6,3,2,2,2,3,1,2,21,57,52,26,20,25,44,47,48,89,142,230,293,214,139,124,74,47,58,70,93,111,346,785,824,551,376,281,280,304,297,263,231,205,228,273,216,148,146
Irland,Ireland,South-West,IE,IE053,keine Daten,103,102,44,22,24,27,30,22,12,2,1,1,1,2,3,3,2,4,4,5,7,9,10,24,55,94,161,284,319,239,166,94,58,65,49,24,61,176,404,1242,1420,696,373,240,159,84,60,56,51,46,39,48,52,37,37
Irland,Ireland,Mid-West,IE,IE051,keine Daten,86,102,72,90,86,25,13,9,4,2,0,0,1,1,1,1,11,15,20,43,54,49,42,34,33,81,157,215,234,186,146,136,keine Daten,keine Daten,103,84,88,191,545,1335,1427,760,406,243,186,199,209,162,113,108,115,92,66,64,97
Irland,Ireland,South-East,IE,IE052,keine Daten,62,76,48,43,43,22,20,15,6,4,4,3,1,3,4,1,1,7,15,25,31,30,36,47,38,39,89,187,239,167,105,97,77,75,82,97,154,249,415,1351,1634,864,529,369,257,170,126,88,75,107,111,76,47,46,49
Italien,Italy,Puglia,IT,ITF4,29,41,33,20,14,9,5,4,3,1,0,0,0,0,0,1,1,3,4,6,9,15,23,28,28,28,32,55,91,145,201,274,393,457,477,528,488,406,340,326,383,393,361,340,328,309,287,308,386,470,539,588,620,552,479,463
Italien,Italy,Basilicata,IT,ITF5,26,21,13,8,8,4,-1,2,1,0,0,0,0,1,1,1,8,8,5,7,5,6,12,17,14,29,52,52,68,129,207,339,478,537,549,437,244,182,182,197,264,247,173,133,142,187,214,258,313,326,319,301,299,339,401,412
Italien,Italy,Sardegna,IT,ITG2,26,32,20,8,5,4,2,1,0,0,0,0,0,1,0,0,1,2,4,6,25,45,47,45,46,55,64,90,130,178,228,275,338,398,365,345,312,256,235,208,231,240,201,171,144,99,73,60,65,82,100,143,237,283,279,259
Italien,Italy,Provincia Autonoma di Bolzano / Bozen,IT,ITH1,139,190,144,51,25,14,8,4,3,2,2,5,5,3,7,7,3,10,16,12,22,27,21,39,60,69,66,117,269,536,796,1260,1594,1455,1114,754,577,505,389,341,511,695,968,1276,1490,1558,1321,965,683,456,2337,2311,302,256,175,160
Italien,Italy,Calabria,IT,ITF6,21,19,13,7,4,2,2,1,0,0,0,1,1,0,2,3,2,2,3,4,6,8,13,11,12,13,13,22,45,96,137,196,255,333,334,237,171,135,155,187,227,239,215,191,161,138,125,130,145,178,222,259,287,295,319,337
Italien,Italy,Sicilia,IT,ITG1,17,22,17,12,9,4,3,2,1,0,0,-8,-8,0,1,1,2,4,7,10,11,11,16,21,27,32,38,61,107,172,218,287,392,453,424,370,316,262,229,261,397,494,431,305,234,189,151,143,154,170,197,228,268,311,350,350
Italien,Italy,Friuli-Venezia Giulia,IT,ITH4,68,88,62,37,84,12,-50,9,6,3,2,2,1,2,2,3,3,5,6,9,16,22,24,33,38,38,46,81,139,259,400,523,658,828,933,895,816,797,610,510,725,774,657,559,475,375,320,398,585,793,903,817,631,422,291,253
Italien,Italy,Emilia-Romagna,IT,ITH5,141,177,134,87,71,44,22,16,13,8,6,7,9,10,11,12,14,14,6,15,28,34,39,39,37,33,39,70,127,245,388,541,713,776,717,618,521,482,465,502,577,528,421,371,372,390,440,584,779,873,817,707,567,413,331,304
Italien,Italy,Toscana,IT,ITI1,71,96,75,42,28,15,9,8,4,2,2,2,2,2,2,2,3,4,6,10,16,27,35,36,38,40,54,119,234,438,651,810,899,835,585,351,253,196,167,158,172,166,161,180,213,243,287,360,426,460,489,503,521,468,396,369
Italien,Italy,Umbria,IT,ITI2,50,34,13,7,5,4,3,2,1,0,1,0,0,1,1,1,2,2,5,9,19,28,29,34,36,35,59,138,270,490,694,848,922,761,534,383,279,238,220,254,322,334,365,436,522,560,507,425,390,377,323,289,263,221,188,167
Italien,Italy,Marche,IT,ITI3,89,129,93,44,34,24,19,12,4,2,2,2,1,1,1,1,2,6,8,11,11,13,17,21,25,24,28,52,96,221,366,462,557,509,410,382,342,323,321,390,484,459,394,358,344,348,367,487,635,680,660,571,458,355,282,261
Italien,Italy,Lazio,IT,ITI4,31,44,35,21,18,13,10,8,4,3,4,3,2,3,4,4,4,4,5,9,24,36,37,37,42,49,57,80,158,296,408,522,626,643,575,463,369,323,308,331,385,369,307,272,254,241,234,264,324,383,424,430,418,360,307,290
Italien,Italy,Campania,IT,ITF3,29,36,21,10,7,4,3,3,2,1,-3,-3,1,2,2,2,3,3,3,6,15,32,42,38,40,54,79,129,237,412,591,817,924,847,701,489,345,261,202,208,249,257,245,268,325,362,368,449,570,629,585,495,463,433,438,455
Italien,Italy,Provincia Autonoma di Trento,IT,ITH2,181,298,244,148,119,50,17,22,15,4,3,5,76,75,3,3,16,17,6,4,6,17,59,81,75,76,92,102,138,302,461,547,589,565,547,558,502,529,491,425,470,487,466,449,500,509,562,689,727,693,635,542,430,293,228,221
Italien,Italy,Veneto,IT,ITH3,88,128,106,63,41,21,11,7,4,2,1,1,1,2,3,7,9,12,18,22,30,35,40,40,39,47,62,103,160,301,491,707,862,896,876,873,981,1060,1024,972,907,660,379,277,227,185,200,257,333,428,497,497,449,336,256,258
Italien,Italy,Piemonte,IT,ITC1,135,232,223,167,135,77,43,36,25,13,9,8,6,4,4,3,3,4,7,9,12,18,21,22,27,32,49,100,226,466,657,952,1259,1175,895,635,430,261,197,244,301,294,248,242,243,237,251,335,484,625,696,694,643,512,378,330
Italien,Italy,Valle d'Aosta / Vallée d'Aoste,IT,ITC2,299,299,249,129,40,31,25,18,10,8,3,2,3,2,1,0,8,10,9,7,5,18,25,20,22,34,55,177,536,957,1180,1288,1478,1410,932,519,300,234,286,255,232,233,170,120,89,94,98,111,138,227,403,609,853,788,569,527
Italien,Italy,Liguria,IT,ITC3,123,188,152,120,112,70,47,47,36,19,10,7,6,4,4,7,9,8,8,17,25,31,48,71,82,80,97,172,341,570,695,811,905,751,521,360,273,252,225,246,310,296,253,249,270,275,258,281,309,302,316,365,416,379,302,270
Italien,Italy,Lombardia,IT,ITC4,155,211,174,122,106,75,64,55,42,32,28,26,18,14,13,10,8,8,9,11,16,28,35,33,29,29,36,83,218,480,789,1023,1150,1111,827,536,367,294,278,257,296,293,244,237,236,248,303,411,554,638,636,589,522,395,301,283
Italien,Italy,Abruzzo,IT,ITF1,59,76,75,48,28,16,13,10,4,3,2,1,1,2,3,3,3,4,11,13,12,16,20,20,28,28,29,71,145,266,385,493,642,707,634,472,329,242,175,196,258,259,238,277,358,409,452,492,489,445,382,337,301,256,222,195
Italien,Italy,Molise,IT,ITF2,40,45,19,11,6,29,40,16,5,2,1,2,2,0,0,0,8,10,3,6,11,11,12,14,24,26,21,49,112,196,292,384,407,486,530,445,335,264,222,207,242,277,274,274,337,371,401,402,350,303,262,202,151,130,144,158
Lettland,Latvia,Kurzeme,LV,LV003,keine Daten,keine Daten,keine Daten,1,1,2,3,1,1,0,0,0,0,2,2,0,0,0,3,5,3,1,0,1,1,17,63,89,57,36,67,92,88,106,139,153,184,240,301,425,469,449,398,313,329,369,426,460,436,357,305,282,232,216,236,283
Lettland,Latvia,Latgale,LV,LV005,keine Daten,keine Daten,keine Daten,0,0,6,9,3,0,4,4,0,0,1,0,0,4,4,2,4,4,9,9,9,9,8,67,119,125,116,141,225,311,367,460,632,745,865,951,971,1145,1150,952,809,718,689,650,626,572,538,588,527,410,402,433,441
Lettland,Latvia,Riga,LV,LV006,keine Daten,keine Daten,keine Daten,16,12,8,6,4,3,2,1,0,2,4,7,6,4,2,2,2,2,4,4,5,12,20,31,65,100,150,204,251,309,349,465,536,521,578,635,622,609,599,557,557,578,547,501,494,459,386,398,388,337,373,393,408
Lettland,Latvia,Pieriga,LV,LV007,keine Daten,keine Daten,keine Daten,6,8,4,3,3,2,1,1,1,0,1,2,2,2,5,9,7,4,6,5,5,8,11,18,29,46,65,107,162,203,262,340,384,377,401,448,552,653,586,458,463,543,530,503,478,457,415,377,355,310,340,408,455
Lettland,Latvia,Vidzeme,LV,LV008,keine Daten,keine Daten,keine Daten,9,8,8,23,33,17,4,0,0,3,3,1,1,5,9,7,3,0,0,3,3,1,1,10,13,48,99,116,101,108,146,150,139,159,202,233,309,447,608,666,657,694,639,555,542,465,351,336,321,313,386,394,346
Lettland,Latvia,Zemgale,LV,LV009,keine Daten,keine Daten,keine Daten,4,3,2,2,0,2,3,4,3,0,0,0,0,0,1,4,3,1,2,1,1,2,1,3,19,36,29,63,124,150,175,240,506,635,666,700,720,848,783,689,678,582,485,435,391,348,292,352,377,298,324,405,442
Liechtenstein,Liechtenstein,Liechtenstein,LI,LI0,keine Daten,keine Daten,54,5,5,keine Daten,-3,0,0,0,0,0,3,8,5,5,5,5,5,21,31,28,18,8,21,23,36,90,307,847,924,862,986,880,916,705,671,1027,1259,1218,826,408,284,279,209,121,62,-98,-85,101,103,126,163,498,550,305
Litauen,Lithuania,Kauno apskritis,LT,LT022,13,9,4,2,2,1,2,1,1,keine Daten,1,1,0,1,1,6,10,10,19,28,26,19,13,15,23,61,102,64,64,175,312,575,690,802,984,1147,1462,1503,1288,1162,967,623,434,382,320,243,203,204,176,139,139,182,249,342,440,482
Litauen,Lithuania,Klaipedos apskritis,LT,LT023,55,52,41,28,17,15,6,4,2,keine Daten,3,3,0,1,2,3,2,3,3,9,12,9,7,13,15,9,11,15,68,204,433,732,889,940,1012,1041,1121,1270,1216,1034,957,749,544,486,390,295,226,204,212,178,184,206,157,134,155,173
Litauen,Lithuania,Vilniaus apskritis,LT,LT011,29,24,20,23,17,10,13,15,12,keine Daten,14,12,4,3,4,5,6,6,7,10,21,30,25,22,29,37,39,30,73,206,352,536,673,727,767,837,1041,1269,1427,1385,1133,803,593,534,404,288,291,349,351,367,418,528,721,830,879,927
Litauen,Lithuania,Alytaus apskritis,LT,LT021,19,11,7,4,3,2,0,1,2,keine Daten,1,1,1,0,0,0,1,1,0,0,0,1,2,4,5,2,10,11,13,28,113,304,587,923,1085,1003,1379,1764,1670,1463,1202,857,528,384,311,270,216,205,160,128,166,227,272,339,355,404
Litauen,Lithuania,Marijampoles apskritis,LT,LT024,7,36,50,26,9,2,1,0,0,keine Daten,1,1,1,1,3,5,4,2,2,0,2,6,5,4,6,8,7,7,38,108,199,361,550,744,925,952,1079,1198,1154,1039,861,644,464,372,243,178,186,201,218,237,254,336,434,462,525,521
Litauen,Lithuania,Panevežio apskritis,LT,LT025,12,9,5,5,3,0,0,0,0,keine Daten,0,0,0,0,0,3,6,15,17,9,8,17,13,10,23,26,24,18,38,77,141,358,573,702,900,1141,1470,1695,1578,1296,992,678,521,504,405,301,273,250,235,222,214,239,252,263,301,321
Litauen,Lithuania,Šiauliu apskritis,LT,LT026,13,8,3,1,1,1,0,0,0,keine Daten,0,2,1,0,0,0,0,2,2,3,3,1,7,26,69,120,164,111,105,226,379,527,803,1017,1115,1181,1270,1381,1284,1098,910,626,373,301,241,203,153,137,136,96,79,80,88,110,163,215
Litauen,Lithuania,Taurages apskritis,LT,LT027,9,9,4,1,1,1,1,1,1,keine Daten,0,0,0,0,0,1,2,1,1,5,8,10,44,54,23,9,7,21,50,112,290,530,891,1004,925,906,965,1122,1006,750,600,426,261,213,175,166,137,126,103,75,81,88,119,140,148,122
Litauen,Lithuania,Telšiu apskritis,LT,LT028,13,8,4,3,3,2,2,1,1,keine Daten,2,1,0,0,0,0,0,1,1,1,2,2,2,11,27,24,17,13,62,230,565,828,826,886,943,857,929,1049,882,681,580,489,411,301,201,150,145,155,136,87,77,83,83,88,142,188
Litauen,Lithuania,Utenos apskritis,LT,LT029,6,6,3,6,4,1,1,0,2,keine Daten,3,2,1,3,5,6,7,13,18,10,10,27,24,7,2,3,9,7,6,27,66,114,228,368,517,784,1072,1358,1349,1191,1221,1046,767,622,448,300,305,249,159,173,222,278,356,416,400,399
Luxemburg,Luxembourg,Luxembourg,LU,LU0,keine Daten,keine Daten,keine Daten,59,35,keine Daten,25,17,12,8,9,14,36,75,121,179,211,190,138,93,95,-131,-138,97,166,183,154,225,361,806,1255,1333,1276,1259,1212,1135,1153,1017,631,384,348,304,272,301,343,337,366,415,400,391,450,503,466,448,436,398
Malta,Malta,Malta,MT,MT0,keine Daten,47,42,12,8,8,14,21,12,4,7,6,3,2,1,1,7,25,59,100,135,114,77,106,139,113,109,175,321,340,267,303,338,368,337,296,268,205,228,325,409,457,453,444,419,373,445,527,640,795,723,426,187,141,145,111
Niederlande,Netherlands,Noord-Holland,NL,NL32,keine Daten,keine Daten,78,51,32,22,15,11,8,10,12,10,7,6,5,9,17,32,58,81,77,60,79,127,198,302,348,455,720,796,703,591,467,421,389,384,499,713,798,692,565,470,413,375,333,321,337,440,502,495,544,590,567,515,516,530
Niederlande,Netherlands,Zuid-Holland,NL,NL33,keine Daten,keine Daten,98,66,41,28,23,22,17,18,21,16,13,10,10,17,27,48,76,90,77,58,80,133,204,321,400,551,823,948,962,802,579,508,454,431,551,739,756,637,536,429,358,313,270,258,256,323,379,427,537,633,675,680,714,746
Niederlande,Netherlands,Noord-Brabant,NL,NL41,keine Daten,keine Daten,112,75,45,26,16,12,12,15,16,12,7,3,2,6,10,19,33,40,40,36,39,51,82,154,226,365,636,752,817,753,543,492,458,452,593,832,855,691,604,511,433,416,371,318,306,394,426,429,514,594,625,638,687,749
Niederlande,Netherlands,Limburg (NL),NL,NL42,keine Daten,keine Daten,145,100,59,35,23,20,15,13,12,7,3,2,1,2,3,4,9,19,27,26,25,34,46,79,114,198,362,465,479,456,408,377,378,423,657,1023,1142,930,772,730,628,517,438,371,318,348,353,354,441,542,631,703,748,806
Niederlande,Netherlands,Drenthe,NL,NL13,keine Daten,keine Daten,39,27,17,6,2,3,3,3,3,2,1,0,0,2,3,3,5,7,6,5,5,11,37,110,154,269,458,435,337,291,241,250,241,209,313,561,675,663,628,520,411,328,313,321,313,346,364,383,460,537,496,407,381,358
Niederlande,Netherlands,Zeeland,NL,NL34,keine Daten,keine Daten,68,26,17,13,8,12,17,11,7,5,2,3,5,16,24,23,26,23,21,20,19,24,40,60,84,141,243,286,345,405,362,328,288,256,354,541,628,565,527,496,436,391,299,255,260,316,368,424,501,598,622,558,587,647
Niederlande,Netherlands,Groningen,NL,NL11,keine Daten,keine Daten,19,8,5,3,1,-1,0,1,1,1,1,1,1,1,2,6,12,21,21,13,15,44,99,163,216,290,389,331,256,226,171,200,226,258,366,552,640,580,521,490,438,340,271,285,314,411,405,330,360,383,356,325,348,388
Niederlande,Netherlands,Friesland (NL),NL,NL12,keine Daten,keine Daten,41,20,8,9,8,4,3,2,3,2,0,1,1,1,1,2,7,16,17,10,8,15,40,104,154,246,357,320,266,222,185,215,219,219,302,449,519,526,511,476,456,401,378,376,342,384,385,387,466,520,510,462,456,454
Niederlande,Netherlands,Utrecht,NL,NL31,keine Daten,keine Daten,73,55,40,36,30,21,23,22,19,13,9,7,6,11,14,20,34,43,41,38,57,86,131,227,309,488,773,856,803,640,467,446,436,456,639,908,916,711,563,452,366,298,271,274,257,328,364,370,454,523,522,502,556,606
Niederlande,Netherlands,Overijssel,NL,NL21,keine Daten,keine Daten,105,62,32,18,10,9,6,4,5,6,5,4,2,3,4,4,7,13,17,13,14,28,53,106,180,318,535,707,750,648,507,444,437,441,568,937,1094,999,917,691,522,419,301,250,222,260,297,336,390,419,429,418,459,525
Niederlande,Netherlands,Gelderland,NL,NL22,keine Daten,keine Daten,107,74,43,24,13,20,24,19,16,12,7,4,2,2,3,6,12,18,22,22,27,51,87,154,207,301,483,525,581,571,410,381,383,410,570,840,965,850,710,576,452,359,280,237,215,255,293,334,415,492,520,514,570,628
Niederlande,Netherlands,Flevoland,NL,NL23,keine Daten,keine Daten,83,66,41,30,18,15,15,10,9,6,4,4,-1,-1,3,12,26,38,40,33,42,67,96,151,189,262,439,530,570,552,472,529,566,544,675,968,1082,913,686,504,379,313,279,237,196,236,287,288,339,424,446,451,494,511
Norwegen,Norway,Oslo,NO,NO081,keine Daten,keine Daten,71,45,38,29,15,11,10,16,20,15,15,9,5,6,8,12,24,35,37,33,35,60,81,88,86,94,92,121,178,245,316,342,308,219,193,208,195,208,261,254,217,194,142,132,163,267,386,489,630,581,511,532,414,290
Norwegen,Norway,Trøndelag,NO,NO060,keine Daten,keine Daten,10,14,18,10,5,3,1,0,0,0,0,1,1,2,3,2,6,10,9,5,3,5,6,6,9,12,17,26,30,41,44,32,21,15,49,96,143,209,214,134,63,38,21,11,8,10,16,17,12,14,17,31,39,25
