typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Landkreis,196761,Baden-Württemberg,Schwäbisch Hall,de-bw-08127000,49.14446897,9.908932168,1389,702.011523299303,10,98.3671060397403,96,511.345477788431,487,1041.19898231886,570,827.514118552286,196,484.488938326536,30,256.147540983607
Landkreis,132399,Baden-Württemberg,Main-Tauber-Kreis,de-bw-08128000,49.56070071,9.725088401,961,724.277230110639,20,327.707684745207,71,612.33290211298,297,1023.18531022841,400,876.251396525663,151,495.179379550075,22,230.825726576435
Landkreis,132777,Baden-Württemberg,Heidenheim,de-bw-08135000,48.66228146,10.18215043,712,536.096135891335,10,157.455518815935,42,337.783496863439,212,700.479101272096,282,618.964003511853,118,416.07898448519,48,489.446313857449
Landkreis,314025,Baden-Württemberg,Ostalbkreis,de-bw-08136000,48.87752597,10.09015736,2330,742.616785557472,58,388.193561341276,172,590.963751932658,746,1004.87620894959,950,872.063669827515,351,529.395794998643,53,258.511364744903
Stadtkreis,55185,Baden-Württemberg,Baden-Baden,de-bw-08211000,48.74852744,8.231762203,332,598.748399430107,3,128.921357971637,25,576.568265682657,86,757.776015507974,143,754.259190885595,53,398.137019230769,22,448.796409628723
Stadtkreis,312060,Baden-Württemberg,Karlsruhe (Stadt),de-bw-08212000,49.01133399,8.41266977,2292,743.103917830603,53,392.563513813792,171,710.989148060372,856,889.720403284482,860,833.430243826802,294,525.131282820705,58,303.283831834344
Landkreis,445101,Baden-Württemberg,Karlsruhe (Landkreis),de-bw-08215000,49.08188493,8.562796642,3836,858.449777554985,106,509.492910358087,386,947.983692715752,1044,1064.90406683191,1625,1017.60933820951,582,604.210788588514,92,311.558129296624
Landkreis,231420,Baden-Württemberg,Rastatt,de-bw-08216000,48.76181925,8.241247569,1696,730.747853212748,38,352.799182991366,156,760.011692487577,486,965.22412663105,686,832.60510729197,275,536.020583190395,55,342.124906693207
Stadtkreis,161485,Baden-Württemberg,Heidelberg,de-bw-08221000,49.4055153,8.69417185,1026,646.965812235024,20,261.403738073454,70,572.175903220533,442,783.271309587099,340,673.494047501139,130,498.198819652027,23,267.659723030374
Stadtkreis,310658,Baden-Württemberg,Mannheim,de-bw-08222000,49.49941904,8.500324438,2463,795.231837686176,47,313.16631130064,195,768.38206320435,920,1016.63075308028,924,879.53091684435,278,491.383119752541,99,545.574782321173
Landkreis,143633,Baden-Württemberg,Neckar-Odenwald-Kreis,de-bw-08225000,49.46660977,9.280110002,1050,730.196040251187,21,318.66464339909,99,782.608695652174,302,949.297457014428,406,807.510243048649,186,570.464652660635,36,371.248839847375
Landkreis,548355,Baden-Württemberg,Rhein-Neckar-Kreis,de-bw-08226000,49.36848493,8.767084426,4226,771.387348080105,103,388.914061320042,400,788.596888985273,1225,1025.82568500033,1759,901.191683829783,590,490.673053732858,139,382.888466517919
Stadtkreis,125957,Baden-Württemberg,Pforzheim,de-bw-08231000,48.87640055,8.712779093,779,618.175469781615,16,231.247290070819,50,414.490591063583,261,796.362970647464,278,674.331732401882,140,574.92505441255,33,382.65306122449
Landkreis,159201,Baden-Württemberg,Calw,de-bw-08235000,48.67899906,8.635769829,992,619.42316218022,13,169.160702667534,70,470.430107526882,301,841.252096143097,444,792.418482625689,142,415.776066524171,20,187.406296851574
Landkreis,199556,Baden-Württemberg,Enzkreis,de-bw-08236000,48.91446693,8.737081203,1491,746.425567703953,39,399.181166837257,148,807.28740522555,382,872.225774043292,630,886.662069159641,229,531.088383311301,62,459.770114942529
Landkreis,118243,Baden-Württemberg,Freudenstadt,de-bw-08237000,48.47440617,8.465312971,904,763.745733500051,14,249.287749287749,64,583.302952971199,289,1072.27663995251,370,889.294813248089,142,564.904324302821,23,288.94472361809
Stadtkreis,231195,Baden-Württemberg,Freiburg im Breisgau,de-bw-08311000,47.992523,7.818075962,1673,724.430588031523,52,449.050086355786,120,617.824229006848,720,949.141817606581,544,741.508096614143,196,505.754244723125,41,335.62540929928
Landkreis,263601,Baden-Württemberg,Breisgau-Hochschwarzwald,de-bw-08315000,47.92490936,7.924940897,1887,712.433032427596,59,453.044613376334,165,660.528422738191,554,960.088730221999,785,859.304018477773,272,464.361929150662,52,289.419491289586
Landkreis,166408,Baden-Württemberg,Emmendingen,de-bw-08316000,48.14851206,7.897550382,1405,842.612458198991,27,327.789243656671,118,752.983217407951,440,1210.88697470897,580,984.887077602309,188,514.659585534781,52,483.991064780343
Landkreis,430953,Baden-Württemberg,Ortenaukreis,de-bw-08317000,48.42097194,8.016219909,2559,591.56687780295,34,159.962361797224,165,407.01546658773,912,930.963731204638,1027,685.539587074208,349,379.285985980547,72,245.131417676699
Landkreis,139878,Baden-Württemberg,Rottweil,de-bw-08325000,48.25422029,8.532351332,646,460.882096942197,6,85.5066267635742,43,323.91713747646,195,613.844555670979,266,548.600655845897,101,339.039946290702,33,345.839446656885
Landkreis,212506,Baden-Württemberg,Schwarzwald-Baar-Kreis,de-bw-08326000,48.01911974,8.410964353,817,383.798714720583,9,86.8725868725869,62,320.247933884298,265,539.714867617108,320,449.520277578771,121,259.389470073744,38,239.732508989969
Landkreis,140766,Baden-Württemberg,Tuttlingen,de-bw-08327000,48.01120044,8.794136176,611,431.247441453396,3,40.4585300067431,36,253.093363329584,203,600.733901515152,250,517.684088461857,99,354.736992976924,20,218.938149972633
Landkreis,286305,Baden-Württemberg,Konstanz,de-bw-08335000,47.79321279,8.915763012,1623,565.749661874817,25,183.701961936953,86,337.917485265226,656,903.992172750699,609,634.573304157549,212,357.908598247598,32,164.304785376874
Landkreis,228736,Baden-Württemberg,Lörrach,de-bw-08336000,47.70350402,7.774028828,1093,477.62211482158,25,218.971708855216,70,315.656565656566,313,613.316612454442,445,547.624907703667,186,389.879891839772,53,350.019812442214
Landkreis,171003,Baden-Württemberg,Waldshut,de-bw-08337000,47.69713347,8.218892391,809,472.444623533465,9,107.488355428162,72,427.071593807462,250,656.305785991809,338,574.312269552954,120,321.560640977544,20,173.792144595064
Landkreis,287034,Baden-Württemberg,Reutlingen,de-bw-08415000,48.40647635,9.365726299,1598,556.179716657913,20,138.995065675169,125,464.545859967296,518,780.296753784741,640,637.570855042289,234,394.158370812067,61,311.160987553561
Landkreis,228678,Baden-Württemberg,Tübingen,de-bw-08416000,48.4817379,8.987634001,1737,760.70923662084,41,355.995484935313,139,678.048780487805,671,996.154931041138,637,852.869900520826,217,514.388659744939,30,241.409833427215
Landkreis,189363,Baden-Württemberg,Zollernalbkreis,de-bw-08417000,48.26723891,8.937428398,1124,592.535631142619,10,115.888283694518,65,384.934265071657,378,894.039735099338,479,728.240212846826,155,371.168582375479,37,263.664220052733
Stadtkreis,126790,Baden-Württemberg,Ulm,de-bw-08421000,48.39083274,9.950021135,706,558.522210355603,15,244.180367898421,55,489.628772367133,258,687.175389532561,267,643.357991373702,94,409.603904309556,17,229.14139371883
Landkreis,197076,Baden-Württemberg,Alb-Donau-Kreis,de-bw-08425000,48.40171143,9.827447144,1255,633.186010373151,19,186.512221458722,130,671.591672263264,384,829.624508490688,515,740.282888684453,159,402.317755117532,48,394.83425187135
