"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Saale-Holzland-Kreis","Landkreis","Thüringen","82816","217","29478","394.851236476043","327","0","de-th-16074000",50.90417214,11.73153078,"29.4.2022"
"Saale-Orla-Kreis","Landkreis","Thüringen","79632","316","29077","323.990355635925","258","0","de-th-16075000",50.58084802,11.71057373,"29.4.2022"
"Greiz","Landkreis","Thüringen","96668","352","29939","288.616708735052","279","1","de-th-16076000",50.74845955,12.07407057,"29.4.2022"
"Altenburger Land","Landkreis","Thüringen","88356","426","30728","365.566571596722","323","0","de-th-16077000",50.95642466,12.39913134,"29.4.2022"
"Hamburg","Kreisfreie Stadt","Hamburg","1852478","2524","540800","863.869908306603","16003","4","de-hh-02000000",53.54637735,10.02079442,"29.4.2022"
"Braunschweig","Kreisfreie Stadt","Niedersachsen","248561","273","61315","948.258174049831","2357","1","de-ni-03101000",52.27522109,10.52410806,"29.4.2022"
"Salzgitter","Kreisfreie Stadt","Niedersachsen","103866","163","32790","637.359674965821","662","1","de-ni-03102000",52.12447444,10.37072623,"29.4.2022"
"Wolfsburg","Kreisfreie Stadt","Niedersachsen","123840","186","36265","1313.79198966408","1627","0","de-ni-03103000",52.41074739,10.78487077,"29.4.2022"
"Gifhorn","Landkreis","Niedersachsen","177227","300","48400","1131.31746291479","2005","0","de-ni-03151000",52.58025623,10.60417046,"29.4.2022"
"Goslar","Landkreis","Niedersachsen","134688","187","31358","893.91779520076","1204","0","de-ni-03153000",51.87467716,10.40039267,"29.4.2022"
"Helmstedt","Landkreis","Niedersachsen","91518","137","23780","933.149762888175","854","0","de-ni-03154000",52.26074433,10.88883872,"29.4.2022"
"Northeim","Landkreis","Niedersachsen","131772","135","32717","1219.53070455028","1607","1","de-ni-03155000",51.74258733,9.848008931,"29.4.2022"
"Peine","Landkreis","Niedersachsen","135844","144","38290","840.670180501163","1142","0","de-ni-03157000",52.30419133,10.25528781,"29.4.2022"
"Wolfenbüttel","Landkreis","Niedersachsen","119361","123","28935","857.063865081559","1023","0","de-ni-03158000",52.12699752,10.5839538,"29.4.2022"
"Göttingen","Landkreis","Niedersachsen","323900","379","67168","769.990737882062","2494","3","de-ni-03159000",51.49893902,9.926235131,"29.4.2022"
"Region Hannover","Landkreis","Niedersachsen","1155330","1563","321329","703.435382098621","8127","0","de-ni-03241000",52.42193707,9.719799048,"29.4.2022"
"Diepholz","Landkreis","Niedersachsen","218072","136","57644","1464.19531164019","3193","0","de-ni-03251000",52.72848578,8.701799136,"29.4.2022"
"Hameln-Pyrmont","Landkreis","Niedersachsen","148580","121","38274","775.339884237448","1152","0","de-ni-03252000",52.09513819,9.389895452,"29.4.2022"
"Hildesheim","Landkreis","Niedersachsen","275464","430","70142","760.897975779049","2096","0","de-ni-03254000",52.090219,9.943480972,"29.4.2022"
"Holzminden","Landkreis","Niedersachsen","70207","124","17257","1120.9708433632","787","1","de-ni-03255000",51.88063258,9.55140269,"29.4.2022"
"Nienburg (Weser)","Landkreis","Niedersachsen","121645","183","32019","1782.23519256854","2168","0","de-ni-03256000",52.60922281,9.114312927,"29.4.2022"
"Schaumburg","Landkreis","Niedersachsen","158406","175","41567","1289.09258487684","2042","0","de-ni-03257000",52.29279233,9.206561905,"29.4.2022"
"Celle","Landkreis","Niedersachsen","179386","145","45327","827.266341854994","1484","1","de-ni-03351000",52.71334323,10.10356616,"29.4.2022"
"Cuxhaven","Landkreis","Niedersachsen","198826","223","49238","1771.90105921761","3523","0","de-ni-03352000",53.6165865,8.812382372,"29.4.2022"
"Harburg","Landkreis","Niedersachsen","256016","187","61774","881.585525904631","2257","0","de-ni-03353000",53.31577342,9.962738848,"29.4.2022"
"Lüchow-Dannenberg","Landkreis","Niedersachsen","48503","32","10802","1282.39490340804","622","0","de-ni-03354000",53.01987172,11.12291989,"29.4.2022"
"Lüneburg","Landkreis","Niedersachsen","184235","102","44689","1050.83181805846","1936","0","de-ni-03355000",53.23257535,10.57325692,"29.4.2022"
"Osterholz","Landkreis","Niedersachsen","114640","83","26809","1127.00628053036","1292","0","de-ni-03356000",53.25100673,8.808080932,"29.4.2022"
"Rotenburg (Wümme)","Landkreis","Niedersachsen","164486","142","40773","1332.02825772406","2191","0","de-ni-03357000",53.25075839,9.306584838,"29.4.2022"
"Heidekreis","Landkreis","Niedersachsen","140885","172","33098","834.013557156546","1175","0","de-ni-03358000",52.92833009,9.769411359,"29.4.2022"
"Stade","Landkreis","Niedersachsen","205357","194","49050","1163.33993971474","2389","0","de-ni-03359000",53.57897623,9.41807039,"29.4.2022"
"Uelzen","Landkreis","Niedersachsen","92566","161","21524","1595.61826156472","1477","1","de-ni-03360000",52.98363494,10.54758105,"29.4.2022"
"Verden","Landkreis","Niedersachsen","137574","145","35414","1410.15017372469","1940","0","de-ni-03361000",52.97323565,9.1754645,"29.4.2022"
"Delmenhorst","Kreisfreie Stadt","Niedersachsen","77503","90","21113","1037.37919822458","804","0","de-ni-03401000",53.0494044,8.645682931,"29.4.2022"
"Emden","Kreisfreie Stadt","Niedersachsen","49874","40","14406","1020.57184103942","509","0","de-ni-03402000",53.36067907,7.181584115,"29.4.2022"
"Oldenburg (Oldb)","Kreisfreie Stadt","Niedersachsen","169605","60","41686","1153.26788714955","1956","0","de-ni-03403000",53.14457817,8.224359039,"29.4.2022"
"Osnabrück","Kreisfreie Stadt","Niedersachsen","164223","149","47995","781.86368535467","1284","0","de-ni-03404000",52.27767982,8.04703291,"29.4.2022"
"Wilhelmshaven","Kreisfreie Stadt","Niedersachsen","75189","104","18301","1014.77609756746","763","1","de-ni-03405000",53.56594481,8.086204629,"29.4.2022"
"Ammerland","Landkreis","Niedersachsen","125643","88","28033","1736.66658707608","2182","0","de-ni-03451000",53.21848817,8.013262266,"29.4.2022"
"Aurich","Landkreis","Niedersachsen","190178","143","50817","1341.90074561726","2552","1","de-ni-03452000",53.49643077,7.368089581,"29.4.2022"
"Cloppenburg","Landkreis","Niedersachsen","172632","217","59479","2018.74507623152","3485","2","de-ni-03453000",52.91102902,7.904713938,"29.4.2022"
"Emsland","Landkreis","Niedersachsen","328930","284","117070","1489.67865503299","4900","0","de-ni-03454000",52.73829702,7.402688652,"29.4.2022"
"Friesland","Landkreis","Niedersachsen","98971","60","21184","993.220236230815","983","0","de-ni-03455000",53.51036297,7.983247462,"29.4.2022"
"Grafschaft Bentheim","Landkreis","Niedersachsen","137891","168","47498","1470.00166798413","2027","1","de-ni-03456000",52.47605341,7.019856762,"29.4.2022"
"Leer","Landkreis","Niedersachsen","171483","108","45417","1164.54692301861","1997","0","de-ni-03457000",53.24354174,7.469761641,"29.4.2022"
"Oldenburg","Landkreis","Niedersachsen","131467","145","35549","1485.54390075076","1953","0","de-ni-03458000",52.98807691,8.389396566,"29.4.2022"
"Osnabrück","Landkreis","Niedersachsen","359471","417","109025","861.26558192455","3096","0","de-ni-03459000",52.38161392,8.045157342,"29.4.2022"
