"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Freiburg im Breisgau","Stadtkreis","Baden-Württemberg","230940","180","10999","4762.7","258.1",596,"de-bw-08311000","47.9925229956","7.81807596197"
"Breisgau-Hochschwarzwald","Landkreis","Baden-Württemberg","264867","200","11944","4509.4","260.1",689,"de-bw-08315000","47.9249093559","7.92494089685"
"Emmendingen","Landkreis","Baden-Württemberg","166862","180","8519","5105.4","219.9",367,"de-bw-08316000","48.1485120637","7.89755038202"
"Ortenaukreis","Landkreis","Baden-Württemberg","432580","611","26473","6119.8","310.7",1344,"de-bw-08317000","48.4209719355","8.01621990932"
"Rottweil","Landkreis","Baden-Württemberg","140166","175","10719","7647.4","497.3",697,"de-bw-08325000","48.254220293","8.53235133177"
"Schwarzwald-Baar-Kreis","Landkreis","Baden-Württemberg","212872","231","14460","6792.8","368.8",785,"de-bw-08326000","48.0191197382","8.41096435345"
"Tuttlingen","Landkreis","Baden-Württemberg","141682","165","10148","7162.5","356.4",505,"de-bw-08327000","48.01120044","8.7941361763"
"Konstanz","Landkreis","Baden-Württemberg","286876","310","15093","5261.2","217.2",623,"de-bw-08335000","47.7932127909","8.9157630123"
"Lörrach","Landkreis","Baden-Württemberg","228842","322","12961","5663.7","220.2",504,"de-bw-08336000","47.703504023","7.77402882816"
"Waldshut","Landkreis","Baden-Württemberg","171237","228","9583","5596.3","253.4",434,"de-bw-08337000","47.6971334745","8.21889239137"
"Reutlingen","Landkreis","Baden-Württemberg","287497","292","19098","6642.9","303.7",873,"de-bw-08415000","48.4064763532","9.36572629856"
"Tübingen","Landkreis","Baden-Württemberg","228471","192","12478","5461.5","240.3",549,"de-bw-08416000","48.481737902","8.98763400076"
"Zollernalbkreis","Landkreis","Baden-Württemberg","189862","185","12388","6524.7","330.8",628,"de-bw-08417000","48.2672389069","8.93742839835"
"Ulm","Stadtkreis","Baden-Württemberg","126405","93","8293","6560.7","344.9",436,"de-bw-08421000","48.3908327419","9.9500211353"
"Alb-Donau-Kreis","Landkreis","Baden-Württemberg","198204","183","12258","6184.5","414.7",822,"de-bw-08425000","48.4017114301","9.82744714375"
"Biberach","Landkreis","Baden-Württemberg","202250","195","13461","6655.6","651.2",1317,"de-bw-08426000","48.1075826288","9.77425436647"
"Bodenseekreis","Landkreis","Baden-Württemberg","217901","176","11708","5373.1","364.4",794,"de-bw-08435000","47.7334602866","9.40077001359"
"Ravensburg","Landkreis","Baden-Württemberg","285888","157","15970","5586.1","386.9",1106,"de-bw-08436000","47.8250441153","9.77989455833"
"Sigmaringen","Landkreis","Baden-Württemberg","130946","101","8507","6496.6","432.2",566,"de-bw-08437000","48.0391514971","9.24100350319"
"Ingolstadt","Kreisfreie Stadt","Bayern","136952","152","9358","6833.1","448.3",614,"de-by-09161000","48.7550927761","11.3950069326"
"München","Kreisfreie Stadt","Bayern","1488202","1415","101142","6796.3","124",1846,"de-by-09162000","48.1532131611","11.5472441841"
"Rosenheim","Kreisfreie Stadt","Bayern","63591","79","5960","9372.4","470.2",299,"de-by-09163000","47.8443777181","12.1087247511"
"Altötting","Landkreis","Bayern","111654","217","9101","8151.1","761.3",850,"de-by-09171000","48.2098044272","12.7052826752"
"Berchtesgadener Land","Landkreis","Bayern","106327","110","10645","10011.6","954.6",1015,"de-by-09172000","47.6984724021","12.9018660877"
"Bad Tölz-Wolfratshausen","Landkreis","Bayern","128212","102","9718","7579.6","762.8",978,"de-by-09173000","47.7274771535","11.4831153973"
"Dachau","Landkreis","Bayern","155117","154","11558","7451.1","416.5",646,"de-by-09174000","48.3345482595","11.3571128101"
"Ebersberg","Landkreis","Bayern","144091","190","9760","6773.5","687.8",991,"de-by-09175000","48.0761776106","11.9131721198"
"Eichstätt","Landkreis","Bayern","133169","105","7528","5653","467.8",623,"de-by-09176000","48.8980875603","11.3703873291"
"Erding","Landkreis","Bayern","138891","128","10508","7565.6","714.2",992,"de-by-09177000","48.3003970808","12.0006246986"
"Freising","Landkreis","Bayern","180313","147","11625","6447.1","400.4",722,"de-by-09178000","48.4473569802","11.7406716932"
"Fürstenfeldbruck","Landkreis","Bayern","218740","154","12778","5841.6","283.4",620,"de-by-09179000","48.1877932949","11.2010776242"
"Garmisch-Partenkirchen","Landkreis","Bayern","88279","91","5181","5868.9","566.4",500,"de-by-09180000","47.5563489806","11.1296286125"
"Landsberg am Lech","Landkreis","Bayern","121019","86","6030","4982.7","391.7",474,"de-by-09181000","48.0244353759","10.9487346774"
"Miesbach","Landkreis","Bayern","100183","92","8262","8246.9","1049.1",1051,"de-by-09182000","47.7416453347","11.8089897365"
"Mühldorf a. Inn","Landkreis","Bayern","116483","190","11381","9770.5","1023.3",1192,"de-by-09183000","48.2393145242","12.3818280217"
"München","Landkreis","Bayern","349685","310","21069","6025.1","348.3",1218,"de-by-09184000","48.0744744023","11.6313680405"
"Neuburg-Schrobenhausen","Landkreis","Bayern","97730","89","5971","6109.7","501.4",490,"de-by-09185000","48.6644203317","11.197210668"
