"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Rheingau-Taunus-Kreis","Landkreis","Hessen",187433,196,0,"de-he-06439000",105
"Wetteraukreis","Landkreis","Hessen",310353,565,3,"de-he-06440000",182
"Gießen","Landkreis","Hessen",271667,382,0,"de-he-06531000",141
"Lahn-Dill-Kreis","Landkreis","Hessen",253373,253,0,"de-he-06532000",100
"Limburg-Weilburg","Landkreis","Hessen",172291,296,0,"de-he-06533000",172
"Marburg-Biedenkopf","Landkreis","Hessen",245903,306,0,"de-he-06534000",124
"Vogelsbergkreis","Landkreis","Hessen",105506,118,0,"de-he-06535000",112
"Kassel","Kreisfreie Stadt","Hessen",201048,209,0,"de-he-06611000",104
"Fulda","Landkreis","Hessen",223023,314,0,"de-he-06631000",141
"Hersfeld-Rotenburg","Landkreis","Hessen",120304,197,0,"de-he-06632000",164
"Kassel","Landkreis","Hessen",237007,234,0,"de-he-06633000",99
"Schwalm-Eder-Kreis","Landkreis","Hessen",179840,261,0,"de-he-06634000",145
"Waldeck-Frankenberg","Landkreis","Hessen",156528,162,0,"de-he-06635000",103
"Werra-Meißner-Kreis","Landkreis","Hessen",100046,177,0,"de-he-06636000",177
"Koblenz","Kreisfreie Stadt","Rheinland-Pfalz",113388,171,0,"de-rp-07111000",151
"Ahrweiler","Landkreis","Rheinland-Pfalz",130479,73,0,"de-rp-07131000",56
"Altenkirchen (Westerwald)","Landkreis","Rheinland-Pfalz",129087,112,0,"de-rp-07132000",87
"Bad Kreuznach","Landkreis","Rheinland-Pfalz",158746,153,0,"de-rp-07133000",96
"Birkenfeld","Landkreis","Rheinland-Pfalz",80830,108,0,"de-rp-07134000",134
"Cochem-Zell","Landkreis","Rheinland-Pfalz",61578,80,1,"de-rp-07135000",130
"Mayen-Koblenz","Landkreis","Rheinland-Pfalz",214786,200,1,"de-rp-07137000",93
"Neuwied","Landkreis","Rheinland-Pfalz",183131,209,1,"de-rp-07138000",114
"Rhein-Hunsrück-Kreis","Landkreis","Rheinland-Pfalz",103401,112,0,"de-rp-07140000",108
"Rhein-Lahn-Kreis","Landkreis","Rheinland-Pfalz",122574,106,0,"de-rp-07141000",86
"Westerwaldkreis","Landkreis","Rheinland-Pfalz",202830,184,0,"de-rp-07143000",91
"Trier","Kreisfreie Stadt","Rheinland-Pfalz",110674,41,0,"de-rp-07211000",37
"Bernkastel-Wittlich","Landkreis","Rheinland-Pfalz",112685,70,0,"de-rp-07231000",62
"Eifelkreis Bitburg-Prüm","Landkreis","Rheinland-Pfalz",100055,40,0,"de-rp-07232000",40
"Vulkaneifel","Landkreis","Rheinland-Pfalz",60491,66,0,"de-rp-07233000",109
"Trier-Saarburg","Landkreis","Rheinland-Pfalz",150533,111,0,"de-rp-07235000",74
"Frankenthal (Pfalz)","Kreisfreie Stadt","Rheinland-Pfalz",48750,63,1,"de-rp-07311000",129
"Kaiserslautern","Kreisfreie Stadt","Rheinland-Pfalz",99662,128,0,"de-rp-07312000",128
"Landau in der Pfalz","Kreisfreie Stadt","Rheinland-Pfalz",46685,53,0,"de-rp-07313000",114
