"region","neuinf","neuinfpro","add"
"<b>Soest</b><br>Kreis<br>Nordrhein-Westfalen","2074","688,999920270019",""
"<b>Unna</b><br>Kreis<br>Nordrhein-Westfalen","3199","812,716898109334",""
"<b>Darmstadt</b><br>Kreisfreie Stadt<br>Hessen","1353","850,013193109427",""
"<b>Frankfurt am Main</b><br>Kreisfreie Stadt<br>Hessen","5941","777,511961722488",""
"<b>Offenbach am Main</b><br>Kreisfreie Stadt<br>Hessen","725","553,89175809064",""
"<b>Wiesbaden</b><br>Kreisfreie Stadt<br>Hessen","2148","770,97294057263",""
"<b>Bergstraße</b><br>Landkreis<br>Hessen","2494","920,244266922495",""
"<b>Darmstadt-Dieburg</b><br>Landkreis<br>Hessen","2361","793,077618147067",""
"<b>Groß-Gerau</b><br>Landkreis<br>Hessen","1964","712,092151395722",""
"<b>Hochtaunuskreis</b><br>Landkreis<br>Hessen","2201","927,592179736262",""
"<b>Main-Kinzig-Kreis</b><br>Landkreis<br>Hessen","3762","892,12666206612",""
"<b>Main-Taunus-Kreis</b><br>Landkreis<br>Hessen","1997","834,642904908386",""
"<b>Odenwaldkreis</b><br>Landkreis<br>Hessen","819","846,476631457097",""
"<b>Offenbach</b><br>Landkreis<br>Hessen","2684","752,78648798739",""
"<b>Rheingau-Taunus-Kreis</b><br>Landkreis<br>Hessen","1553","828,562739752338",""
"<b>Wetteraukreis</b><br>Landkreis<br>Hessen","2538","817,778465167084",""
"<b>Gießen</b><br>Landkreis<br>Hessen","2775","1021,47113929922",""
"<b>Lahn-Dill-Kreis</b><br>Landkreis<br>Hessen","2601","1026,54979023021",""
"<b>Limburg-Weilburg</b><br>Landkreis<br>Hessen","1418","823,026159230604",""
"<b>Marburg-Biedenkopf</b><br>Landkreis<br>Hessen","2589","1052,8541742069",""
"<b>Vogelsbergkreis</b><br>Landkreis<br>Hessen","1414","1340,20813982143",""
"<b>Kassel</b><br>Kreisfreie Stadt<br>Hessen","1987","988,321196928097",""
"<b>Fulda</b><br>Landkreis<br>Hessen","2446","1096,74786905386",""
"<b>Hersfeld-Rotenburg</b><br>Landkreis<br>Hessen","1678","1394,79984040431",""
"<b>Kassel</b><br>Landkreis<br>Hessen","2809","1185,19706169016",""
"<b>Schwalm-Eder-Kreis</b><br>Landkreis<br>Hessen","2073","1152,69128113879",""
"<b>Waldeck-Frankenberg</b><br>Landkreis<br>Hessen","1986","1268,78258203005",""
"<b>Werra-Meißner-Kreis</b><br>Landkreis<br>Hessen","1072","1071,5071067309",""
"<b>Koblenz</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","765","674,674568737433",""
"<b>Ahrweiler</b><br>Landkreis<br>Rheinland-Pfalz","778","596,264532989983",""
"<b>Altenkirchen (Westerwald)</b><br>Landkreis<br>Rheinland-Pfalz","948","734,388435706152",""
"<b>Bad Kreuznach</b><br>Landkreis<br>Rheinland-Pfalz","1577","993,410857596412",""
"<b>Birkenfeld</b><br>Landkreis<br>Rheinland-Pfalz","664","821,477174316467",""
"<b>Cochem-Zell</b><br>Landkreis<br>Rheinland-Pfalz","706","1146,51336516288",""
"<b>Mayen-Koblenz</b><br>Landkreis<br>Rheinland-Pfalz","1547","720,251785498124",""
"<b>Neuwied</b><br>Landkreis<br>Rheinland-Pfalz","1067","582,643026030546",""
"<b>Rhein-Hunsrück-Kreis</b><br>Landkreis<br>Rheinland-Pfalz","556","537,712401234031",""
"<b>Rhein-Lahn-Kreis</b><br>Landkreis<br>Rheinland-Pfalz","936","763,620343629155",""
"<b>Westerwaldkreis</b><br>Landkreis<br>Rheinland-Pfalz","1615","796,233298821673",""
