"Kreis","Typ","Bundesland","Einwohner","Tote","hc.key","totrel"
"Rosenheim","Landkreis","Bayern",261721,511,"de-by-09187000",1952
"Starnberg","Landkreis","Bayern",136610,131,"de-by-09188000",959
"Traunstein","Landkreis","Bayern",177485,248,"de-by-09189000",1397
"Weilheim-Schongau","Landkreis","Bayern",136134,90,"de-by-09190000",661
"Landshut","Kreisfreie Stadt","Bayern",73065,122,"de-by-09261000",1670
"Passau","Kreisfreie Stadt","Bayern",52415,122,"de-by-09262000",2328
"Straubing","Kreisfreie Stadt","Bayern",47612,101,"de-by-09263000",2121
"Deggendorf","Landkreis","Bayern",119479,175,"de-by-09271000",1465
"Freyung-Grafenau","Landkreis","Bayern",78355,138,"de-by-09272000",1761
"Kelheim","Landkreis","Bayern",123390,120,"de-by-09273000",973
"Landshut","Landkreis","Bayern",161191,178,"de-by-09274000",1104
"Passau","Landkreis","Bayern",193454,396,"de-by-09275000",2047
"Regen","Landkreis","Bayern",77313,180,"de-by-09276000",2328
"Rottal-Inn","Landkreis","Bayern",121800,226,"de-by-09277000",1856
"Straubing-Bogen","Landkreis","Bayern",101745,154,"de-by-09278000",1514
"Dingolfing-Landau","Landkreis","Bayern",97244,125,"de-by-09279000",1285
"Amberg","Kreisfreie Stadt","Bayern",42052,34,"de-by-09361000",809
"Regensburg","Kreisfreie Stadt","Bayern",152270,114,"de-by-09362000",749
"Weiden i.d. OPf.","Kreisfreie Stadt","Bayern",42535,100,"de-by-09363000",2351
"Amberg-Sulzbach","Landkreis","Bayern",102998,172,"de-by-09371000",1670
"Cham","Landkreis","Bayern",128094,205,"de-by-09372000",1600
"Neumarkt i.d. OPf.","Landkreis","Bayern",135225,174,"de-by-09373000",1287
"Neustadt a.d. Waldnaab","Landkreis","Bayern",94645,195,"de-by-09374000",2060
"Regensburg","Landkreis","Bayern",194275,213,"de-by-09375000",1096
"Schwandorf","Landkreis","Bayern",148477,186,"de-by-09376000",1253
"Tirschenreuth","Landkreis","Bayern",71696,267,"de-by-09377000",3724
"Bamberg","Kreisfreie Stadt","Bayern",76674,107,"de-by-09461000",1396
"Bayreuth","Kreisfreie Stadt","Bayern",74048,116,"de-by-09462000",1567
"Coburg","Kreisfreie Stadt","Bayern",40842,93,"de-by-09463000",2277
"Hof","Kreisfreie Stadt","Bayern",45173,122,"de-by-09464000",2701
"Bamberg","Landkreis","Bayern",147497,159,"de-by-09471000",1078
"Bayreuth","Landkreis","Bayern",103679,171,"de-by-09472000",1649
"Coburg","Landkreis","Bayern",86571,166,"de-by-09473000",1918
"Forchheim","Landkreis","Bayern",116600,125,"de-by-09474000",1072
"Hof","Landkreis","Bayern",94522,170,"de-by-09475000",1799
"Kronach","Landkreis","Bayern",66355,107,"de-by-09476000",1613
"Kulmbach","Landkreis","Bayern",71428,125,"de-by-09477000",1750
"Lichtenfels","Landkreis","Bayern",66722,91,"de-by-09478000",1364
"Wunsiedel i. Fichtelgebirge","Landkreis","Bayern",71974,205,"de-by-09479000",2848
"Ansbach","Kreisfreie Stadt","Bayern",41681,46,"de-by-09561000",1104
"Erlangen","Kreisfreie Stadt","Bayern",112385,103,"de-by-09562000",916
"Fürth","Kreisfreie Stadt","Bayern",128223,237,"de-by-09563000",1848
"Nürnberg","Kreisfreie Stadt","Bayern",515543,1007,"de-by-09564000",1953
"Schwabach","Kreisfreie Stadt","Bayern",41056,116,"de-by-09565000",2825
"Ansbach","Landkreis","Bayern",185316,208,"de-by-09571000",1122
"Erlangen-Höchstadt","Landkreis","Bayern",138105,142,"de-by-09572000",1028
"Fürth","Landkreis","Bayern",118695,222,"de-by-09573000",1870
"Nürnberger Land","Landkreis","Bayern",171143,196,"de-by-09574000",1145
"Neustadt a.d. Aisch-Bad Windsheim","Landkreis","Bayern",101272,115,"de-by-09575000",1136
"Roth","Landkreis","Bayern",127168,185,"de-by-09576000",1455
"Weißenburg-Gunzenhausen","Landkreis","Bayern",95117,125,"de-by-09577000",1314
"Aschaffenburg","Kreisfreie Stadt","Bayern",70858,120,"de-by-09661000",1694
"Schweinfurt","Kreisfreie Stadt","Bayern",53319,103,"de-by-09662000",1932
"Würzburg","Kreisfreie Stadt","Bayern",126954,134,"de-by-09663000",1056
"Aschaffenburg","Landkreis","Bayern",174658,219,"de-by-09671000",1254
"Bad Kissingen","Landkreis","Bayern",103169,115,"de-by-09672000",1115
"Rhön-Grabfeld","Landkreis","Bayern",79510,99,"de-by-09673000",1245
"Haßberge","Landkreis","Bayern",84275,94,"de-by-09674000",1115
"Kitzingen","Landkreis","Bayern",91696,88,"de-by-09675000",960
"Miltenberg","Landkreis","Bayern",128743,148,"de-by-09676000",1150
"Main-Spessart","Landkreis","Bayern",125976,220,"de-by-09677000",1746
"Schweinfurt","Landkreis","Bayern",115652,155,"de-by-09678000",1340
"Würzburg","Landkreis","Bayern",162697,86,"de-by-09679000",529
"Augsburg","Kreisfreie Stadt","Bayern",295830,457,"de-by-09761000",1545
"Kaufbeuren","Kreisfreie Stadt","Bayern",44662,67,"de-by-09762000",1500
"Kempten (Allgäu)","Kreisfreie Stadt","Bayern",68940,51,"de-by-09763000",740
"Memmingen","Kreisfreie Stadt","Bayern",44360,27,"de-by-09764000",609
"Aichach-Friedberg","Landkreis","Bayern",135024,112,"de-by-09771000",829
"Augsburg","Landkreis","Bayern",255900,267,"de-by-09772000",1043
"Dillingen a.d. Donau","Landkreis","Bayern",97172,146,"de-by-09773000",1502
"Günzburg","Landkreis","Bayern",127342,121,"de-by-09774000",950
"Neu-Ulm","Landkreis","Bayern",175823,143,"de-by-09775000",813
"Lindau (Bodensee)","Landkreis","Bayern",82085,66,"de-by-09776000",804
"Ostallgäu","Landkreis","Bayern",141907,145,"de-by-09777000",1022
"Unterallgäu","Landkreis","Bayern",146164,183,"de-by-09778000",1252
"Donau-Ries","Landkreis","Bayern",134324,181,"de-by-09779000",1347
"Oberallgäu","Landkreis","Bayern",156308,101,"de-by-09780000",646
"Regionalverband Saarbrücken","Landkreis","Saarland",327502,495,"de-sl-10041000",1511
"Merzig-Wadern","Landkreis","Saarland",103471,68,"de-sl-10042000",657
"Neunkirchen","Landkreis","Saarland",131172,131,"de-sl-10043000",999
"Saarlouis","Landkreis","Saarland",193732,170,"de-sl-10044000",878
"Saarpfalz-Kreis","Landkreis","Saarland",141656,116,"de-sl-10045000",819
"St. Wendel","Landkreis","Saarland",86458,115,"de-sl-10046000",1330
"Brandenburg an der Havel","Kreisfreie Stadt","Brandenburg",72040,95,"de-bb-12051000",1319
