id,bundesland,wahlkreis,partei,Stimmenanteil,number
174,HE,Fulda,Linke,5.8,4.5399302477017
175,HE,Main-Kinzig – Wetterau II – Schotten,Linke,6.6,4.4089001712855
176,HE,Hochtaunus,Linke,6.6,4.00572891719639
177,HE,Wetterau I,Linke,6.7,4.68058762629516
178,HE,Rheingau-Taunus – Limburg,Linke,6.4,4.99026322318241
179,HE,Wiesbaden,Linke,9.5,4.43739170674235
180,HE,Hanau,Linke,7.6,4.17500284151174
181,HE,Main-Taunus,Linke,6,4.17633741837926
182,HE,Frankfurt am Main I,Linke,12,4.98396581597626
183,HE,Frankfurt am Main II,Linke,11.7,4.33647857909091
184,HE,Groß-Gerau,Linke,8.2,4.47956489771605
185,HE,Offenbach,Linke,8.8,4.51735761715099
186,HE,Darmstadt,Linke,10.2,4.04671422508545
187,HE,Odenwald,Linke,7.4,4.82570526446216
188,HE,Bergstraße,Linke,6.6,4.282093671849
189,TH,Eichsfeld – Nordhausen – Kyffhäuserkreis,Linke,14.5,4.22252846206538
190,TH,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Linke,15.7,4.5386269390583
191,TH,Jena – Sömmerda – Weimarer Land I,Linke,18.5,4.33634814317338
192,TH,Gotha – Ilm-Kreis,Linke,15.7,4.70552165107802
193,TH,Erfurt – Weimar – Weimarer Land II,Linke,19.4,4.00032033864409
194,TH,Gera – Greiz – Altenburger Land,Linke,17.4,4.41228515980765
195,TH,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Linke,16.6,4.56535021914169
196,TH,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Linke,16.9,4.94750635768287
197,RP,Neuwied,Linke,6.3,4.91117934859358
198,RP,Ahrweiler,Linke,5.7,4.37031628331169
199,RP,Koblenz,Linke,6.9,4.31257409253158
200,RP,Mosel/Rhein-Hunsrück,Linke,6.1,4.8217461721506
201,RP,Kreuznach,Linke,6.9,4.02280250610784
202,RP,Bitburg,Linke,5.9,4.06567915133201
203,RP,Trier,Linke,8.6,4.49310088413768
204,RP,Montabaur,Linke,5.9,4.47392647550441
205,RP,Mainz,Linke,8.5,4.18096206127666
206,RP,Worms,Linke,6.4,4.2882105410099
207,RP,Ludwigshafen/Frankenthal,Linke,6.7,4.38392189750448
208,RP,Neustadt – Speyer,Linke,6,4.70284667378291
209,RP,Kaiserslautern,Linke,8,4.62319045164622
210,RP,Pirmasens,Linke,7.2,4.57913773693144
211,RP,Südpfalz,Linke,6.4,4.77281188452616
212,BY,Altötting,Linke,5.3,4.47272758954205
213,BY,Erding – Ebersberg,Linke,5.1,4.94543783180416
214,BY,Freising,Linke,5.1,4.36821963498369
215,BY,Fürstenfeldbruck,Linke,5.1,4.93702493910678
216,BY,Ingolstadt,Linke,5.4,4.32646246091463
217,BY,München-Nord,Linke,8.2,4.73217348475009
218,BY,München-Ost,Linke,7.6,4.34058308764361
219,BY,München-Süd,Linke,8.7,4.03510721889324
220,BY,München-West/Mitte,Linke,8.6,4.86939453403465
221,BY,München-Land,Linke,5.1,4.12955293804407
222,BY,Rosenheim,Linke,5.1,4.37258888455108
223,BY,Bad Tölz-Wolfratshausen – Miesbach,Linke,4.9,4.70787758100778
224,BY,Starnberg – Landsberg am Lech,Linke,5.4,4.05696478812024
225,BY,Traunstein,Linke,5.3,4.02279169205576
226,BY,Weilheim,Linke,5.4,4.66138011869043
227,BY,Deggendorf,Linke,5,4.92571003339253
228,BY,Landshut,Linke,4.8,4.35839240206406
229,BY,Passau,Linke,5.6,4.03468824899755
230,BY,Rottal-Inn,Linke,4.5,4.47462165448815
231,BY,Straubing,Linke,4.4,4.9747388700489
232,BY,Amberg,Linke,5.3,4.27409203466959
233,BY,Regensburg,Linke,6.8,4.96424595406279
234,BY,Schwandorf,Linke,4.5,4.1333155145403
235,BY,Weiden,Linke,4.8,4.98730884492397
236,BY,Bamberg,Linke,6.5,4.99369523930363
237,BY,Bayreuth,Linke,5.5,4.24922065366991
238,BY,Coburg,Linke,5.6,4.07392570981756
239,BY,Hof,Linke,5.7,4.86216700961813
240,BY,Kulmbach,Linke,4.8,4.67090389481746
241,BY,Ansbach,Linke,6.6,4.52908455207944
242,BY,Erlangen,Linke,7.5,4.66889287694357
243,BY,Fürth,Linke,7.9,4.44101613224484
244,BY,Nürnberg-Nord,Linke,11.7,4.23355992115103
245,BY,Nürnberg-Süd,Linke,8.9,4.14811700582504
246,BY,Roth,Linke,6.3,4.60623890743591
247,BY,Aschaffenburg,Linke,6.1,4.41624944796786
248,BY,Bad Kissingen,Linke,5.9,4.45895862998441
249,BY,Main-Spessart,Linke,5.5,4.05850708158687
250,BY,Schweinfurt,Linke,6.7,4.23115189885721
251,BY,Würzburg,Linke,7.1,4.31639102008194
252,BY,Augsburg-Stadt,Linke,9,4.5185999921523
253,BY,Augsburg-Land,Linke,4.9,4.37306058499962
254,BY,Donau-Ries,Linke,4.6,4.3638462361414
255,BY,Neu-Ulm,Linke,5.1,4.34627003129572
256,BY,Oberallgäu,Linke,5.8,4.89440760109574
257,BY,Ostallgäu,Linke,5.5,4.40431899274699
258,BW,Stuttgart I,Linke,9.3,4.32454848079942
259,BW,Stuttgart II,Linke,9.1,4.94497558218427
260,BW,Böblingen,Linke,5.4,4.09002220188268
261,BW,Esslingen,Linke,6.2,4.03608569526114
262,BW,Nürtingen,Linke,5.5,4.18689027405344
263,BW,Göppingen,Linke,5.1,4.29444937291555
264,BW,Waiblingen,Linke,5.6,4.17087379284203
265,BW,Ludwigsburg,Linke,6,4.21179277077317
266,BW,Neckar-Zaber,Linke,5.3,4.39855570113286
267,BW,Heilbronn,Linke,5.7,4.47041602013633
268,BW,Schwäbisch Hall – Hohenlohe,Linke,5.7,4.800429855939
269,BW,Backnang – Schwäbisch Gmünd,Linke,5.9,4.70938336290419
270,BW,Aalen – Heidenheim,Linke,5.5,4.1278992430307
271,BW,Karlsruhe-Stadt,Linke,9.6,4.81478434451856
272,BW,Karlsruhe-Land,Linke,5.5,4.68874135264196
273,BW,Rastatt,Linke,5.4,4.6104785904754
274,BW,Heidelberg,Linke,8.3,4.72836760221981
275,BW,Mannheim,Linke,9.1,4.9861548030749
276,BW,Odenwald – Tauber,Linke,5.5,4.63558736001141
277,BW,Rhein-Neckar,Linke,6.3,4.4936520808842
278,BW,Bruchsal – Schwetzingen,Linke,5.7,4.74360511754639
279,BW,Pforzheim,Linke,5.4,4.59708231594414
280,BW,Calw,Linke,5.1,4.72517003584653
281,BW,Freiburg,Linke,11.2,4.50122167216614
282,BW,Lörrach – Müllheim,Linke,6.2,4.38429956603795
283,BW,Emmendingen – Lahr,Linke,5.8,4.72844109102152
284,BW,Offenburg,Linke,5.5,4.43920033192262
285,BW,Rottweil – Tuttlingen,Linke,4.8,4.64611125504598
286,BW,Schwarzwald-Baar,Linke,5.3,4.45727884722874
287,BW,Konstanz,Linke,7.2,4.21706071821973
288,BW,Waldshut,Linke,5.5,4.52485094242729
289,BW,Reutlingen,Linke,6.1,4.79602768295445
290,BW,Tübingen,Linke,9.5,4.00634281989187
291,BW,Ulm,Linke,5.7,4.70839484455064
292,BW,Biberach,Linke,4.6,4.30244478350505
293,BW,Bodensee,Linke,6.1,4.55378709197976
294,BW,Ravensburg,Linke,6.1,4.40056383586489
295,BW,Zollernalb – Sigmaringen,Linke,5.1,4.76523403241299
296,SL,Saarbrücken,Linke,14.9,4.75167711218819
297,SL,Saarlouis,Linke,12.9,4.44577343505807
