...1,Typ,Bundesland,Einwohner,Tote,Infizierte,Fälle pro 100.000,hc-key...8,lat,lon,bl,inf,tot,hc-key...14
Diepholz,Landkreis,Niedersachsen,218072,124,28395,957,de-ni-03251000,52.7284857794,8.70179913631,null,null,null,null
Hameln-Pyrmont,Landkreis,Niedersachsen,148580,118,19714,1451,de-ni-03252000,52.0951381895,9.38989545155,null,null,null,null
Hildesheim,Landkreis,Niedersachsen,275464,356,34524,1304,de-ni-03254000,52.0902189983,9.94348097201,null,null,null,null
Holzminden,Landkreis,Niedersachsen,70207,85,7849,1196,de-ni-03255000,51.8806325752,9.55140269027,null,null,null,null
Nienburg (Weser),Landkreis,Niedersachsen,121645,180,15178,1195,de-ni-03256000,52.6092228116,9.1143129274,null,null,null,null
Schaumburg,Landkreis,Niedersachsen,158406,130,19646,1206,de-ni-03257000,52.2927923256,9.20656190484,null,null,null,null
Celle,Landkreis,Niedersachsen,179386,113,23091,1077,de-ni-03351000,52.7133432321,10.1035661643,null,null,null,null
Cuxhaven,Landkreis,Niedersachsen,198826,208,21556,1118,de-ni-03352000,53.6165865049,8.81238237187,null,null,null,null
Harburg,Landkreis,Niedersachsen,256016,157,33290,843,de-ni-03353000,53.3157734164,9.96273884793,null,null,null,null
Lüchow-Dannenberg,Landkreis,Niedersachsen,48503,30,4549,1060,de-ni-03354000,53.0198717176,11.1229198942,null,null,null,null
Lüneburg,Landkreis,Niedersachsen,184235,87,20362,781,de-ni-03355000,53.232575345,10.5732569229,null,null,null,null
Osterholz,Landkreis,Niedersachsen,114640,72,12834,681,de-ni-03356000,53.2510067251,8.80808093198,null,null,null,null
Rotenburg (Wümme),Landkreis,Niedersachsen,164486,119,17592,807,de-ni-03357000,53.2507583937,9.30658483814,null,null,null,null
Heidekreis,Landkreis,Niedersachsen,140885,127,15064,982,de-ni-03358000,52.9283300914,9.76941135878,null,null,null,null
Stade,Landkreis,Niedersachsen,205357,173,23279,746,de-ni-03359000,53.578976226,9.41807038986,null,null,null,null
Uelzen,Landkreis,Niedersachsen,92566,135,8895,966,de-ni-03360000,52.9836349419,10.5475810531,null,null,null,null
Verden,Landkreis,Niedersachsen,137574,129,19761,819,de-ni-03361000,52.973235647,9.17546449952,null,null,null,null
Delmenhorst,Kreisfreie Stadt,Niedersachsen,77503,83,12864,733,de-ni-03401000,53.0494043992,8.64568293102,null,null,null,null
Emden,Kreisfreie Stadt,Niedersachsen,49874,25,6301,1377,de-ni-03402000,53.3606790665,7.18158411476,null,null,null,null
Oldenburg (Oldb),Kreisfreie Stadt,Niedersachsen,169605,57,19445,659,de-ni-03403000,53.1445781697,8.22435903936,null,null,null,null
Osnabrück,Kreisfreie Stadt,Niedersachsen,164223,122,25290,1192,de-ni-03404000,52.2776798178,8.04703290985,null,null,null,null
Wilhelmshaven,Kreisfreie Stadt,Niedersachsen,75189,74,8476,563,de-ni-03405000,53.5659448147,8.08620462896,null,null,null,null
Ammerland,Landkreis,Niedersachsen,125643,84,12215,799,de-ni-03451000,53.2184881736,8.01326226621,null,null,null,null
Aurich,Landkreis,Niedersachsen,190178,91,18040,1114,de-ni-03452000,53.4964307678,7.36808958075,null,null,null,null
Cloppenburg,Landkreis,Niedersachsen,172632,210,32784,1301,de-ni-03453000,52.9110290194,7.90471393786,null,null,null,null
Emsland,Landkreis,Niedersachsen,328930,268,49381,1409,de-ni-03454000,52.7382970162,7.40268865164,null,null,null,null
Friesland,Landkreis,Niedersachsen,98971,51,8021,815,de-ni-03455000,53.510362974,7.98324746163,null,null,null,null
Grafschaft Bentheim,Landkreis,Niedersachsen,137891,149,20524,1469,de-ni-03456000,52.4760534093,7.01985676166,null,null,null,null
Leer,Landkreis,Niedersachsen,171483,93,18918,1154,de-ni-03457000,53.2435417357,7.46976164078,null,null,null,null
Oldenburg,Landkreis,Niedersachsen,131467,133,17129,761,de-ni-03458000,52.9880769073,8.38939656642,null,null,null,null
Osnabrück,Landkreis,Niedersachsen,359471,377,55973,1250,de-ni-03459000,52.3816139244,8.04515734225,null,null,null,null
Vechta,Landkreis,Niedersachsen,143698,102,26794,679,de-ni-03460000,52.6602901512,8.22305794318,null,null,null,null
Wesermarsch,Landkreis,Niedersachsen,88524,138,10993,616,de-ni-03461000,53.357641762,8.38864623114,null,null,null,null
Wittmund,Landkreis,Niedersachsen,57384,47,4204,727,de-ni-03462000,53.5734137385,7.7061235505,null,null,null,null
Bremen,Kreisfreie Stadt,Bremen,566573,529,94204,653,de-ni-04011000,53.1195434664,8.78049374679,null,null,null,null
Bremerhaven,Kreisfreie Stadt,Bremen,113557,152,21145,1004,de-hb-04012000,53.5381662933,8.58850522385,null,null,null,null
Düsseldorf,Kreisfreie Stadt,Nordrhein-Westfalen,620523,723,119031,867,de-nw-05111000,51.235456959,6.81020262394,null,null,null,null
Duisburg,Kreisfreie Stadt,Nordrhein-Westfalen,495885,848,83423,601,de-nw-05112000,51.439615769,6.73469184999,null,null,null,null
Essen,Kreisfreie Stadt,Nordrhein-Westfalen,582415,728,93328,762,de-nw-05113000,51.433832766,7.01715391614,null,null,null,null
Krefeld,Kreisfreie Stadt,Nordrhein-Westfalen,226844,238,41217,795,de-nw-05114000,51.3452191428,6.57966800647,null,null,null,null
Mönchengladbach,Kreisfreie Stadt,Nordrhein-Westfalen,259665,293,41025,813,de-nw-05116000,51.1671935981,6.41197447381,null,null,null,null
Mülheim an der Ruhr,Kreisfreie Stadt,Nordrhein-Westfalen,170921,301,28634,639,de-nw-05117000,51.4137814936,6.878461621,null,null,null,null
Oberhausen,Kreisfreie Stadt,Nordrhein-Westfalen,209566,432,34662,587,de-nw-05119000,51.5131313527,6.84712049817,null,null,null,null
Remscheid,Kreisfreie Stadt,Nordrhein-Westfalen,111516,237,23428,1098,de-nw-05120000,51.1826933037,7.22411565185,null,null,null,null
Solingen,Kreisfreie Stadt,Nordrhein-Westfalen,159193,266,35240,1250,de-nw-05122000,51.1624551579,7.06606973298,null,null,null,null
Wuppertal,Kreisfreie Stadt,Nordrhein-Westfalen,355004,578,72204,1026,de-nw-05124000,51.2506036112,7.16893008228,null,null,null,null
Kleve,Kreis,Nordrhein-Westfalen,313586,289,43511,776,de-nw-05154000,51.6523631313,6.25880908496,null,null,null,null
Mettmann,Kreis,Nordrhein-Westfalen,484322,919,88935,1670,de-nw-05158000,51.2571043543,6.96906518309,null,null,null,null
Rhein-Kreis Neuss,Kreis,Nordrhein-Westfalen,452001,469,72330,1274,de-nw-05162000,51.1435712356,6.64932316692,null,null,null,null
Viersen,Kreis,Nordrhein-Westfalen,298536,366,44954,917,de-nw-05166000,51.2828202383,6.32612051327,null,null,null,null
Wesel,Kreis,Nordrhein-Westfalen,460113,384,70891,899,de-nw-05170000,51.6270425398,6.61836262868,null,null,null,null
