owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-01-12,732,,,,,313,,,,43,574,,,211,2,281,368,1204,,,,,315,367,,531,2780,,,,,,,,7456,1333,,,887,,,,,,,,50,,,,,590,698,,,,,637,553,,729,126,476,634,,,242,,,491,1037,1058,,,,,,,676,,,,,964,1954,,6570,,
2021-01-13,814,,,,,296,,,,43,791,,,187,8,256,388,1036,,,,,422,466,,591,3008,,,,,49,,,7546,1402,,270,896,,,,,,,,156,,,,,609,926,,,,,786,536,,706,126,489,713,,,257,,,718,1051,1239,,,,,,,779,,,,,945,2164,,8309,,
2021-01-14,860,,,,,296,,,,43,977,,,134,60,277,408,1048,,,,,644,560,,593,3307,,,,,49,,,7693,1404,,270,912,,,,,,,,304,,,,,660,1139,,,,,833,548,,575,210,413,792,,,267,,,793,1062,1423,,,,,,,875,,3350,,,924,2276,,9360,,
2021-01-15,907,,,,,296,,,,43,1152,,,98,86,299,427,1214,,,,,828,615,,535,3656,,,,,49,,,7696,1389,,270,939,,,,,,,,392,,,,,737,1216,,,,,896,617,,671,295,452,871,,,320,,,831,1083,1490,,,,,,,929,,3696,,,889,2433,,10593,,
2021-01-16,900,,,,,289,,,,43,1176,,,99,86,321,409,1280,,,,,901,631,,533,3905,,,,140,49,,,7867,1337,,270,939,,,,,,,,435,,,,,753,1254,,,,,968,637,,692,379,491,950,,,387,,,853,1077,1491,,,,,,,947,,2704,,,854,2473,,11370,,
2021-01-17,922,,,,,281,,,,43,1212,,1,95,86,369,391,1339,,,,,973,640,,513,3926,,,,82,49,,,9590,1281,,270,954,,,,,,,,438,,,,,759,1309,,,,,1002,652,,708,464,531,1030,,,454,,,868,999,1492,,,,,,,967,,2117,,,763,2512,,11642,,
2021-01-18,947,,,,,273,324,,,43,1280,,3,112,170,416,372,1470,,,,,1045,730,,478,4018,,,,111,49,,,11949,1192,,270,971,,,,,,,,454,,,574,,792,1401,,,,,893,688,,812,548,522,1106,,,500,,,879,1127,1492,,,,,,,1027,,1995,,,771,2552,,11760,,
2021-01-19,998,,,,,266,324,,,43,1325,,18,132,316,464,387,1570,,,,,989,866,,506,4281,,,,123,49,,,14326,1075,,270,1008,,,,,,,,454,,,574,,821,1582,,,,,871,866,,956,633,474,1183,,,545,,,944,1059,1450,,,,,,,1051,,1899,,,677,2777,,11547,,
2021-01-20,1032,,,,,258,324,,,43,1323,,34,145,378,511,402,1341,,,,,1008,1008,,598,4449,,,,118,49,,,16081,923,,270,1053,,,,,,,,345,,,574,,847,1715,,,,,837,1077,,1137,717,426,1260,,,590,,,944,1088,1348,,,,,,,1087,,1802,,,621,2719,,11209,,
2021-01-21,1069,,,,,260,324,,,43,1409,,129,155,349,551,416,999,,,,,1172,1159,,733,4642,,,,127,49,,,17793,785,,270,1062,,,,,,,,249,,,574,,851,1766,,,,,882,1382,,1430,717,378,1337,,,1373,,,944,1085,1296,,,,,,,1115,,1440,,,571,2784,,10502,,
