"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Alzey-Worms","Landkreis","Rheinland-Pfalz","130715","143","7161","5478.3","205.8",269,"de-rp-07331000","49.759441395","8.15718502019"
"Bad Dürkheim","Landkreis","Rheinland-Pfalz","133004","163","6184","4649.5","234.6",312,"de-rp-07332000","49.4530205976","8.11030493729"
"Donnersbergkreis","Landkreis","Rheinland-Pfalz","75539","77","3392","4490.4","148.3",112,"de-rp-07333000","49.631983052","7.9150113274"
"Germersheim","Landkreis","Rheinland-Pfalz","129006","132","8676","6725.3","495.3",639,"de-rp-07334000","49.1159081733","8.2461937699"
"Kaiserslautern","Landkreis","Rheinland-Pfalz","106320","87","5484","5158","188.1",200,"de-rp-07335000","49.446222318","7.6849815727"
"Kusel","Landkreis","Rheinland-Pfalz","70105","72","2857","4075.3","191.1",134,"de-rp-07336000","49.5498108558","7.47132028218"
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz","110783","123","5537","4998.1","338.5",375,"de-rp-07337000","49.1903823441","8.04807600445"
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz","154754","237","9319","6021.8","211.9",328,"de-rp-07338000","49.416649982","8.36068108599"
"Mainz-Bingen","Landkreis","Rheinland-Pfalz","211525","233","9847","4655.2","163.6",346,"de-rp-07339000","49.9220138826","8.07964875059"
"Südwestpfalz","Landkreis","Rheinland-Pfalz","94912","92","3580","3771.9","271.8",258,"de-rp-07340000","49.2082747366","7.65886718981"
"Stuttgart","Stadtkreis","Baden-Württemberg","630305","541","44051","6988.8","345.9",2180,"de-bw-08111000","48.7745339639","9.17206798796"
"Böblingen","Landkreis","Baden-Württemberg","392898","306","25154","6402.2","347.4",1365,"de-bw-08115000","48.6782256288","8.9427773012"
"Esslingen","Landkreis","Baden-Württemberg","533617","596","37388","7006.5","431.6",2303,"de-bw-08116000","48.6480216763","9.36916572775"
"Göppingen","Landkreis","Baden-Württemberg","258781","277","18679","7218.1","330",854,"de-bw-08117000","48.6631483606","9.71750497706"
"Ludwigsburg","Landkreis","Baden-Württemberg","544971","542","38107","6992.5","333.4",1817,"de-bw-08118000","48.940602979","9.12434425665"
"Rems-Murr-Kreis","Landkreis","Baden-Württemberg","427286","403","30480","7133.4","439.3",1877,"de-bw-08119000","48.899008131","9.50121295556"
"Heilbronn","Stadtkreis","Baden-Württemberg","126458","159","12642","9997","492.7",623,"de-bw-08121000","49.1527195922","9.18234690067"
"Heilbronn","Landkreis","Baden-Württemberg","346363","224","24467","7064","505.5",1751,"de-bw-08125000","49.177198517","9.19077872323"
"Hohenlohekreis","Landkreis","Baden-Württemberg","112765","141","7916","7019.9","434.5",490,"de-bw-08126000","49.2715461389","9.61413578119"
"Schwäbisch Hall","Landkreis","Baden-Württemberg","197860","270","14744","7451.7","343.7",680,"de-bw-08127000","49.1444689707","9.90893216762"
"Main-Tauber-Kreis","Landkreis","Baden-Württemberg","132684","95","7326","5521.4","251.7",334,"de-bw-08128000","49.5607007055","9.72508840096"
"Heidenheim","Landkreis","Baden-Württemberg","132812","188","10185","7668.7","575.2",764,"de-bw-08135000","48.6622814605","10.182150425"
"Ostalbkreis","Landkreis","Baden-Württemberg","314294","448","22668","7212.4","630.3",1981,"de-bw-08136000","48.877525969","10.0901573582"
"Baden-Baden","Stadtkreis","Baden-Württemberg","55449","74","3364","6066.8","376.9",209,"de-bw-08211000","48.748527439","8.23176220313"
"Karlsruhe","Stadtkreis","Baden-Württemberg","308436","238","16401","5317.5","361.2",1114,"de-bw-08212000","49.0113339856","8.41266976981"
