value,name
262,Landeshauptstadt Potsdam (Briefwahlbezirk 9115)
263,Landeshauptstadt Potsdam (Briefwahlbezirk 9116)
264,Landeshauptstadt Potsdam (Briefwahlbezirk 9117)
265,Landeshauptstadt Potsdam (Briefwahlbezirk 9118)
266,Landeshauptstadt Potsdam (Briefwahlbezirk 9119)
267,Landeshauptstadt Potsdam (Briefwahlbezirk 9120)
268,Schwielowsee (Urnenwahlbezirk 1201)
269,Schwielowsee (Urnenwahlbezirk 1202)
270,Schwielowsee (Urnenwahlbezirk 1203)
271,Schwielowsee (Urnenwahlbezirk 1204)
272,Schwielowsee (Urnenwahlbezirk 1205)
273,Schwielowsee (Urnenwahlbezirk 1206)
274,Schwielowsee (Urnenwahlbezirk 1207)
275,Schwielowsee (Urnenwahlbezirk 1208)
276,Schwielowsee (Briefwahlbezirk 9031)
277,Schwielowsee (Briefwahlbezirk 9032)
278,Schwielowsee (Briefwahlbezirk 9033)
279,Schwielowsee (Briefwahlbezirk 9034)
280,Stahnsdorf (Urnenwahlbezirk 1)
281,Stahnsdorf (Urnenwahlbezirk 2)
282,Stahnsdorf (Urnenwahlbezirk 3)
283,Stahnsdorf (Urnenwahlbezirk 4)
284,Stahnsdorf (Urnenwahlbezirk 5)
285,Stahnsdorf (Urnenwahlbezirk 6)
286,Stahnsdorf (Urnenwahlbezirk 7)
287,Stahnsdorf (Urnenwahlbezirk 8)
288,Stahnsdorf (Urnenwahlbezirk 9)
289,Stahnsdorf (Urnenwahlbezirk 10)
290,Stahnsdorf (Urnenwahlbezirk 11)
291,Stahnsdorf (Urnenwahlbezirk 12)
292,Stahnsdorf (Urnenwahlbezirk 13)
293,Stahnsdorf (Urnenwahlbezirk 14)
294,Stahnsdorf (Briefwahlbezirk 9022)
295,Stahnsdorf (Briefwahlbezirk 9023)
296,Stahnsdorf (Briefwahlbezirk 9024)
297,Stahnsdorf (Briefwahlbezirk 9025)
298,Stahnsdorf (Briefwahlbezirk 9026)
299,Stahnsdorf (Briefwahlbezirk 9027)
300,Stahnsdorf (Briefwahlbezirk 9028)
301,Teltow (Urnenwahlbezirk 1)
302,Teltow (Urnenwahlbezirk 2)
303,Teltow (Urnenwahlbezirk 3)
304,Teltow (Urnenwahlbezirk 4)
305,Teltow (Urnenwahlbezirk 5)
306,Teltow (Urnenwahlbezirk 6)
307,Teltow (Urnenwahlbezirk 7)
308,Teltow (Urnenwahlbezirk 8)
309,Teltow (Urnenwahlbezirk 9)
310,Teltow (Urnenwahlbezirk 10)
311,Teltow (Urnenwahlbezirk 11)
