"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Darmstadt-Dieburg","Landkreis","Hessen","297701",385,45223,864.6,2574,1,"de-he-06432000","49.8555038512","8.79546987935","1.3.2022"
"Groß-Gerau","Landkreis","Hessen","275807",348,48920,642.5,1772,1,"de-he-06433000","49.9045086093","8.47025247743","1.3.2022"
"Hochtaunuskreis","Landkreis","Hessen","237281",252,33829,848.4,2013,1,"de-he-06434000","50.2816152547","8.50464605826","1.3.2022"
"Main-Kinzig-Kreis","Landkreis","Hessen","421689",774,79804,1118.1,4715,1,"de-he-06435000","50.2438645181","9.28622299151","1.3.2022"
"Main-Taunus-Kreis","Landkreis","Hessen","239264",280,38187,746,1785,1,"de-he-06436000","50.1025789147","8.43457121479","1.3.2022"
"Odenwaldkreis","Landkreis","Hessen","96754",211,16752,956,925,1,"de-he-06437000","49.6715861652","8.97952523934","1.3.2022"
"Offenbach","Landkreis","Hessen","356542",668,66657,885.7,3158,2,"de-he-06438000","50.0216774635","8.81143914637","1.3.2022"
"Rheingau-Taunus-Kreis","Landkreis","Hessen","187433",208,28693,945.9,1773,2,"de-he-06439000","50.1419717211","8.08113471294","1.3.2022"
"Wetteraukreis","Landkreis","Hessen","310353",595,48821,841.6,2612,2,"de-he-06440000","50.3547764783","8.90765705912","1.3.2022"
"Gießen","Landkreis","Hessen","271667",401,45283,1103.2,2997,1,"de-he-06531000","50.5702779049","8.80751371735","1.3.2022"
"Lahn-Dill-Kreis","Landkreis","Hessen","253373",274,40963,1111,2815,1,"de-he-06532000","50.6482687297","8.36532824","1.3.2022"
"Limburg-Weilburg","Landkreis","Hessen","172291",318,27555,1056.9,1821,1,"de-he-06533000","50.4274703547","8.19943723806","1.3.2022"
"Marburg-Biedenkopf","Landkreis","Hessen","245903",320,35905,835.7,2055,1,"de-he-06534000","50.8368638341","8.73804376785","1.3.2022"
"Vogelsbergkreis","Landkreis","Hessen","105506",122,14735,908,958,1,"de-he-06535000","50.6381193653","9.27137950882","1.3.2022"
"Kassel","Kreisfreie Stadt","Hessen","201048",235,32987,829.2,1667,1,"de-he-06611000","51.3114548137","9.46020305009","1.3.2022"
"Fulda","Landkreis","Hessen","223023",358,45723,1082.4,2414,1,"de-he-06631000","50.5638809858","9.75913916517","1.3.2022"
"Hersfeld-Rotenburg","Landkreis","Hessen","120304",215,17926,739.8,890,1,"de-he-06632000","50.90618961","9.7529324059","1.3.2022"
"Kassel","Landkreis","Hessen","237007",255,31492,897.4,2127,1,"de-he-06633000","51.4012961379","9.4070389164","1.3.2022"
"Schwalm-Eder-Kreis","Landkreis","Hessen","179840",274,22666,821.3,1477,1,"de-he-06634000","51.0237758195","9.3736523386","1.3.2022"
"Waldeck-Frankenberg","Landkreis","Hessen","156528",178,22666,1134.6,1776,1,"de-he-06635000","51.1906875733","8.88888422026","1.3.2022"
"Werra-Meißner-Kreis","Landkreis","Hessen","100046",195,12183,837.6,838,1,"de-he-06636000","51.190756376","9.92890620729","1.3.2022"
"Koblenz","Kreisfreie Stadt","Rheinland-Pfalz","113388",180,16264,562.7,638,1,"de-rp-07111000","50.348516061","7.5795510239","1.3.2022"
"Ahrweiler","Landkreis","Rheinland-Pfalz","130479",84,16152,813.9,1062,1,"de-rp-07131000","50.4675853221","7.04497643896","1.3.2022"
"Altenkirchen (Westerwald)","Landkreis","Rheinland-Pfalz","129087",120,16901,918,1185,1,"de-rp-07132000","50.750747657","7.74412525976","1.3.2022"
"Bad Kreuznach","Landkreis","Rheinland-Pfalz","158746",160,22747,772.9,1227,1,"de-rp-07133000","49.8248204055","7.68666499174","1.3.2022"
"Birkenfeld","Landkreis","Rheinland-Pfalz","80830",124,11445,695.3,562,1,"de-rp-07134000","49.7125403895","7.27765459793","1.3.2022"
"Cochem-Zell","Landkreis","Rheinland-Pfalz","61578",87,7322,876.9,540,1,"de-rp-07135000","50.1328800059","7.17431996528","1.3.2022"
"Mayen-Koblenz","Landkreis","Rheinland-Pfalz","214786",214,26609,572.2,1229,1,"de-rp-07137000","50.3316078654","7.33216943214","1.3.2022"
"Neuwied","Landkreis","Rheinland-Pfalz","183131",230,25639,634,1161,1,"de-rp-07138000","50.5577005458","7.46900064967","1.3.2022"
"Rhein-Hunsrück-Kreis","Landkreis","Rheinland-Pfalz","103401",122,13692,788.2,815,1,"de-rp-07140000","50.0442098205","7.50009971248","1.3.2022"
"Rhein-Lahn-Kreis","Landkreis","Rheinland-Pfalz","122574",115,15077,668.2,819,1,"de-rp-07141000","50.2632817442","7.84270993642","1.3.2022"
"Westerwaldkreis","Landkreis","Rheinland-Pfalz","202830",211,26304,906.2,1838,2,"de-rp-07143000","50.5523493705","7.86568137201","1.3.2022"
"Trier","Kreisfreie Stadt","Rheinland-Pfalz","110674",53,14173,857.5,949,1,"de-rp-07211000","49.762938832","6.65505102152","1.3.2022"
"Bernkastel-Wittlich","Landkreis","Rheinland-Pfalz","112685",89,13220,911.4,1027,1,"de-rp-07231000","49.924645182","6.96721862193","1.3.2022"
"Eifelkreis Bitburg-Prüm","Landkreis","Rheinland-Pfalz","100055",49,12404,742.6,743,1,"de-rp-07232000","50.0621597731","6.41012996519","1.3.2022"
"Vulkaneifel","Landkreis","Rheinland-Pfalz","60491",74,6739,912.5,552,1,"de-rp-07233000","50.2383358519","6.74865373201","1.3.2022"
"Trier-Saarburg","Landkreis","Rheinland-Pfalz","150533",126,19068,989.8,1490,1,"de-rp-07235000","49.6964711338","6.69519559648","1.3.2022"
"Frankenthal (Pfalz)","Kreisfreie Stadt","Rheinland-Pfalz","48750",77,8232,685.1,334,1,"de-rp-07311000","49.5330640295","8.35688379873","1.3.2022"
"Kaiserslautern","Kreisfreie Stadt","Rheinland-Pfalz","99662",169,15636,731.5,729,1,"de-rp-07312000","49.4328526023","7.76067474783","1.3.2022"
"Landau in der Pfalz","Kreisfreie Stadt","Rheinland-Pfalz","46685",59,6717,631.9,295,1,"de-rp-07313000","49.2244938821","8.05060075998","1.3.2022"
"Ludwigshafen am Rhein","Kreisfreie Stadt","Rheinland-Pfalz","172557",386,32475,580.7,1002,1,"de-rp-07314000","49.4820876658","8.39684453576","1.3.2022"
"Mainz","Kreisfreie Stadt","Rheinland-Pfalz","217123",247,34833,800,1737,1,"de-rp-07315000","49.9741865223","8.24149708463","1.3.2022"
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz","53306",54,8123,1099.3,586,1,"de-rp-07316000","49.3418758196","8.15228785937","1.3.2022"
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz","40176",75,5251,968.2,389,1,"de-rp-07317000","49.1971270853","7.59436316477","1.3.2022"
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz","50741",108,9570,563.6,286,1,"de-rp-07318000","49.3297181375","8.43501974938","1.3.2022"
"Worms","Kreisfreie Stadt","Rheinland-Pfalz","83459",123,15505,943,787,1,"de-rp-07319000","49.6494455343","8.32452863106","1.3.2022"
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz","34001",14,4407,1000,340,1,"de-rp-07320000","49.2481606938","7.36539388964","1.3.2022"
"Alzey-Worms","Landkreis","Rheinland-Pfalz","130715",168,18043,828.5,1083,1,"de-rp-07331000","49.759441395","8.15718502019","1.3.2022"
"Bad Dürkheim","Landkreis","Rheinland-Pfalz","133004",198,16443,891.7,1186,1,"de-rp-07332000","49.4530205976","8.11030493729","1.3.2022"
"Donnersbergkreis","Landkreis","Rheinland-Pfalz","75539",94,9401,934.6,706,1,"de-rp-07333000","49.631983052","7.9150113274","1.3.2022"
"Germersheim","Landkreis","Rheinland-Pfalz","129006",190,23396,1134.1,1463,1,"de-rp-07334000","49.1159081733","8.2461937699","1.3.2022"
"Kaiserslautern","Landkreis","Rheinland-Pfalz","106320",114,17252,1040.3,1106,1,"de-rp-07335000","49.446222318","7.6849815727","1.3.2022"
"Kusel","Landkreis","Rheinland-Pfalz","70105",89,7496,654.7,459,1,"de-rp-07336000","49.5498108558","7.47132028218","1.3.2022"
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz","110783",143,14541,584,647,1,"de-rp-07337000","49.1903823441","8.04807600445","1.3.2022"
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz","154754",265,23803,574.5,889,1,"de-rp-07338000","49.416649982","8.36068108599","1.3.2022"
"Mainz-Bingen","Landkreis","Rheinland-Pfalz","211525",271,28192,692.6,1465,1,"de-rp-07339000","49.9220138826","8.07964875059","1.3.2022"
"Südwestpfalz","Landkreis","Rheinland-Pfalz","94912",113,10875,944,896,1,"de-rp-07340000","49.2082747366","7.65886718981","1.3.2022"
"Stuttgart","Stadtkreis","Baden-Württemberg","630305",635,107762,1472.6,9282,4,"de-bw-08111000","48.7745339639","9.17206798796","1.3.2022"
"Böblingen","Landkreis","Baden-Württemberg","392898",424,71901,983,3862,4,"de-bw-08115000","48.6782256288","8.9427773012","1.3.2022"
