"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","Datum","totrel"
"Altmarkkreis Salzwedel","Landkreis","Sachsen-Anhalt",82687,141,0,"de-st-15081000","29.4.2022",171
"Anhalt-Bitterfeld","Landkreis","Sachsen-Anhalt",157217,375,1,"de-st-15082000","29.4.2022",239
"Börde","Landkreis","Sachsen-Anhalt",170567,210,0,"de-st-15083000","29.4.2022",123
"Burgenlandkreis","Landkreis","Sachsen-Anhalt",177590,860,0,"de-st-15084000","29.4.2022",484
"Harz","Landkreis","Sachsen-Anhalt",210975,487,0,"de-st-15085000","29.4.2022",231
"Jerichower Land","Landkreis","Sachsen-Anhalt",89403,207,2,"de-st-15086000","29.4.2022",232
"Mansfeld-Südharz","Landkreis","Sachsen-Anhalt",133690,345,0,"de-st-15087000","29.4.2022",258
"Saalekreis","Landkreis","Sachsen-Anhalt",183434,558,0,"de-st-15088000","29.4.2022",304
"Salzlandkreis","Landkreis","Sachsen-Anhalt",187457,435,0,"de-st-15089000","29.4.2022",232
"Stendal","Landkreis","Sachsen-Anhalt",110485,279,0,"de-st-15090000","29.4.2022",253
"Wittenberg","Landkreis","Sachsen-Anhalt",124185,413,0,"de-st-15091000","29.4.2022",333
"Erfurt","Kreisfreie Stadt","Thüringen",213692,500,0,"de-th-16051000","29.4.2022",234
"Gera","Kreisfreie Stadt","Thüringen",92126,352,1,"de-th-16052000","29.4.2022",382
"Jena","Kreisfreie Stadt","Thüringen",110731,141,0,"de-th-16053000","29.4.2022",127
"Suhl","Kreisfreie Stadt","Thüringen",36395,175,0,"de-th-16054000","29.4.2022",481
"Weimar","Kreisfreie Stadt","Thüringen",65098,149,0,"de-th-16055000","29.4.2022",229
"Eichsfeld","Landkreis","Thüringen",99463,330,0,"de-th-16061000","29.4.2022",332
"Nordhausen","Landkreis","Thüringen",82456,101,0,"de-th-16062000","29.4.2022",122
"Wartburgkreis","Landkreis","Thüringen",159937,441,0,"de-th-16063000","29.4.2022",276
"Unstrut-Hainich-Kreis","Landkreis","Thüringen",101698,408,0,"de-th-16064000","29.4.2022",401
"Kyffhäuserkreis","Landkreis","Thüringen",73522,236,0,"de-th-16065000","29.4.2022",321
"Schmalkalden-Meiningen","Landkreis","Thüringen",124241,644,0,"de-th-16066000","29.4.2022",518
"Gotha","Landkreis","Thüringen",134563,331,0,"de-th-16067000","29.4.2022",246
"Sömmerda","Landkreis","Thüringen",69107,228,1,"de-th-16068000","29.4.2022",330
"Hildburghausen","Landkreis","Thüringen",62656,398,0,"de-th-16069000","29.4.2022",635
"Ilm-Kreis","Landkreis","Thüringen",105606,422,0,"de-th-16070000","29.4.2022",400
"Weimarer Land","Landkreis","Thüringen",82291,129,0,"de-th-16071000","29.4.2022",157
"Sonneberg","Landkreis","Thüringen",57044,284,0,"de-th-16072000","29.4.2022",498
"Saalfeld-Rudolstadt","Landkreis","Thüringen",102139,523,0,"de-th-16073000","29.4.2022",512
"Saale-Holzland-Kreis","Landkreis","Thüringen",82816,217,0,"de-th-16074000","29.4.2022",262
"Saale-Orla-Kreis","Landkreis","Thüringen",79632,316,0,"de-th-16075000","29.4.2022",397
"Greiz","Landkreis","Thüringen",96668,352,1,"de-th-16076000","29.4.2022",364
"Altenburger Land","Landkreis","Thüringen",88356,426,0,"de-th-16077000","29.4.2022",482
"Hamburg","Kreisfreie Stadt","Hamburg",1852478,2524,4,"de-hh-02000000","29.4.2022",136
"Braunschweig","Kreisfreie Stadt","Niedersachsen",248561,273,1,"de-ni-03101000","29.4.2022",110
"Salzgitter","Kreisfreie Stadt","Niedersachsen",103866,163,1,"de-ni-03102000","29.4.2022",157
"Wolfsburg","Kreisfreie Stadt","Niedersachsen",123840,186,0,"de-ni-03103000","29.4.2022",150
"Gifhorn","Landkreis","Niedersachsen",177227,300,0,"de-ni-03151000","29.4.2022",169
"Goslar","Landkreis","Niedersachsen",134688,187,0,"de-ni-03153000","29.4.2022",139
"Helmstedt","Landkreis","Niedersachsen",91518,137,0,"de-ni-03154000","29.4.2022",150
"Northeim","Landkreis","Niedersachsen",131772,135,1,"de-ni-03155000","29.4.2022",102
"Peine","Landkreis","Niedersachsen",135844,144,0,"de-ni-03157000","29.4.2022",106
"Wolfenbüttel","Landkreis","Niedersachsen",119361,123,0,"de-ni-03158000","29.4.2022",103
"Göttingen","Landkreis","Niedersachsen",323900,379,3,"de-ni-03159000","29.4.2022",117
"Region Hannover","Landkreis","Niedersachsen",1155330,1563,0,"de-ni-03241000","29.4.2022",135
"Diepholz","Landkreis","Niedersachsen",218072,136,0,"de-ni-03251000","29.4.2022",62
"Hameln-Pyrmont","Landkreis","Niedersachsen",148580,121,0,"de-ni-03252000","29.4.2022",81
"Hildesheim","Landkreis","Niedersachsen",275464,430,0,"de-ni-03254000","29.4.2022",156
"Holzminden","Landkreis","Niedersachsen",70207,124,1,"de-ni-03255000","29.4.2022",177
"Nienburg (Weser)","Landkreis","Niedersachsen",121645,183,0,"de-ni-03256000","29.4.2022",150
"Schaumburg","Landkreis","Niedersachsen",158406,175,0,"de-ni-03257000","29.4.2022",110
"Celle","Landkreis","Niedersachsen",179386,145,1,"de-ni-03351000","29.4.2022",81
