nachname,vorname,status,beruf,partei,parlament,bundesland
Kießling,Michael,aktiv,MdB,CSU,Bundestag,Bayern
Kretschmer,Michael,aktiv,MdL,CDU,Landtag,Sachsen
Kruse,Michael,aktiv,MdB,FDP,Bundestag,Hamburg
Meister,Michael,aktiv,MdB,CDU,Bundestag,Hessen
Müller,Michael,aktiv,MdB,SPD,Bundestag,Berlin
Preusch,Michael,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Roth,Michael,aktiv,MdB,SPD,Bundestag,Hessen
Schrodi,Michael,aktiv,MdB,SPD,Bundestag,Bayern
Stübgen,Michael,extern,Landesminister,CDU,Landtag,Brandenburg
Theurer,Michael,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Thews,Michael,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Kaniber,Michaela,aktiv,MdL,CSU,Landtag,Bayern
Gosewisch-Walk,Michel,extern,Dragqueen,Linke,Landtag,Berlin
Müntefering,Michelle,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Klauß,Miguel,aktiv,MdL,AfD,Landtag,Baden-Württemberg
Moncsek,Mike,aktiv,MdB,AfD,Bundestag,Sachsen
Viertelhaus-Koschig,Mirja,extern,Unternehmerin,FDP,Landtag,Niedersachsen
Khan,Misbah,aktiv,MdB,Grüne,Bundestag,Rheinland-Pfalz
Neubaur,Mona,extern,Landesvorsitzende von Bündnis 90/Die Grünen Nordrhein-Westfalen,Grüne,Landtag,Nordrhein-Westfalen
Grütters,Monika,aktiv,MdB,CDU,Bundestag,Berlin
Heinold,Monika,extern,Landesministerin,Grüne,Landtag,Schleswig-Holstein
Oppelt,Moritz,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Al-Halak,Muhanad,aktiv,MdB,FDP,Bundestag,Bayern
Aras,Muhterem,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Heselhaus,Nadine,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Schön,Nadine,aktiv,MdB,CDU,Bundestag,Saarland
Sthamer,Nadja,aktiv,MdB,SPD,Bundestag,Sachsen
Faeser,Nancy,extern,Bundesministerin,SPD,Landtag,Hessen
Pawlik,Natalie,aktiv,MdB,SPD,Bundestag,Hessen
Pfau-Weller,Natalie,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Liminski,Nathanael,extern,Chef der Staatskanzlei des Landes Nordrhein-Westfalen,CDU,Landtag,Nordrhein-Westfalen
Baradari,Nezahat,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Vogel,Nic,aktiv,MdL,AfD,Landtag,Nordrhein-Westfalen
Tippelt,Nico,aktiv,MdB,FDP,Bundestag,Sachsen
Fink,Nicolas,aktiv,MdL,SPD,Landtag,Baden-Württemberg
Zippelius,Nicolas,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Bauer,Nicole,aktiv,MdB,FDP,Bundestag,Bayern
Gohlke,Nicole,aktiv,MdB,Linke,Bundestag,Bayern
Höchst,Nicole,aktiv,MdB,AfD,Bundestag,Rheinland-Pfalz
Westig,Nicole,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Annen,Niels,aktiv,MdB,SPD,Bundestag,Hamburg
Wagener,Niklas,aktiv,MdB,Grüne,Bundestag,Bayern
Schmid,Nils,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Weiland,Nils,extern,Landesvorsitzender der SPD,SPD,Landtag,Hamburg
Eskildsen,Nina,extern,Unternehmerin,CDU,Landtag,Schleswig-Holstein
Scheer,Nina,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Stahr,Nina,aktiv,MdB,Grüne,Bundestag,Berlin
Warken,Nina,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Kleinwächter,Norbert,aktiv,MdB,AfD,Bundestag,Brandenburg
Lammert,Norbert,extern,Bundestagspräsident a. D.,CDU,Landtag,Nordrhein-Westfalen
Altenkamp,Norbert Maria,aktiv,MdB,CDU,Bundestag,Hessen
Römer,Norbert,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Röttgen,Norbert,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Walter-Borjans,Norbert,extern,Landesminister a. D.,SPD,Landtag,Nordrhein-Westfalen
Slawik,Nyke,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Beek,Olaf in der,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Kießling,Olaf,aktiv,MdL,AfD,Landtag,Thüringen
Lies,Olaf,aktiv,MdL,SPD,Landtag,Niedersachsen
Scholz,Olaf,aktiv,MdB,SPD,Bundestag,Brandenburg
Gutting,Olav,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Buschhüter,Ole Thorben,aktiv,MdL,SPD,Landtag,Hamburg
Calov,Oliver,aktiv,MdL,AfD,Landtag,Brandenburg
Grundmann,Oliver,aktiv,MdB,CDU,Bundestag,Niedersachsen
Hildenbrand,Oliver,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Kaczmarek,Oliver,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Kirchner,Oliver,aktiv,MdL,AfD,Landtag,Sachsen-Anhalt
Krischer,Oliver,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Kumbartzky,Oliver,aktiv,MdL,FDP,Landtag,Schleswig-Holstein
Luksic,Oliver,aktiv,MdB,FDP,Bundestag,Saarland
Perau,Oliver,extern,Musiker,SPD,Landtag,Niedersachsen
Schatta,Oliver,aktiv,MdL,CDU,Landtag,Niedersachsen
Vogt,Oliver,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Nouripour,Omid,aktiv,MdB,Grüne,Bundestag,Hessen
Nick,Ophelia,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Klein,Ottilie,aktiv,MdB,CDU,Bundestag,Berlin
Fricke,Otto,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Wulff,Otto,extern,Bundesvorsitzender der Senioren-Union,CDU,Landtag,Nordrhein-Westfalen
Türeci,Özlem,extern,Unternehmerin,SPD,Landtag,Rheinland-Pfalz
Marvi,Parsa,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Haggenmüller,Pascal,extern,Landesvorsitzender von Bündnis 90/Die Grünen Baden-Württemberg,Grüne,Landtag,Baden-Württemberg
Kober,Pascal,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Meiser,Pascal,aktiv,MdB,Linke,Bundestag,Berlin
Lips,Patricia,aktiv,MdB,CDU,Bundestag,Hessen
Friedl,Patrick,aktiv,MdL,Grüne,Landtag,Bayern
Schnieder,Patrick,aktiv,MdB,CDU,Bundestag,Rheinland-Pfalz
Schöneborn,Patrick,extern,ehemaliger Kommunalpolitiker in Schleiden,SPD,Landtag,Nordrhein-Westfalen
Lehrieder,Paul,aktiv,MdB,CSU,Bundestag,Bayern
Ziemiak,Paul,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Piechotta,Paula,aktiv,MdB,Grüne,Bundestag,Sachsen
Schierenbeck,Peggy,aktiv,MdB,SPD,Bundestag,Niedersachsen
Aumer,Peter,aktiv,MdB,CSU,Bundestag,Bayern
Beuth,Peter,aktiv,MdL,CDU,Landtag,Hessen
Beyer,Peter,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Biesenbach,Peter,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Boehringer,Peter,aktiv,MdB,AfD,Bundestag,Bayern
Felser,Peter,aktiv,MdB,AfD,Bundestag,Bayern
Fischer,Peter,extern,Präsident von Eintracht Frankfurt,SPD,Landtag,Hessen
Güllmann,Peter,extern,Vorstandssprecher der Bank im Bistum Essen,SPD,Landtag,Nordrhein-Westfalen
Heidt,Peter,aktiv,MdB,FDP,Bundestag,Hessen
Lehnert,Peter,aktiv,MdL,CDU,Landtag,Schleswig-Holstein
Ramsauer,Peter,aktiv,MdB,CSU,Bundestag,Bayern
Tschentscher,Peter,extern,Erster Bürgermeister,SPD,Landtag,Hamburg
Vetter,Peter,extern,Kreisschatzmeister der Linken Main-Taunus,Linke,Landtag,Hessen
Vida,Péter,aktiv,MdL,BVB,Landtag,Brandenburg
Bystron,Petr,aktiv,MdB,AfD,Bundestag,Bayern
Guttenberger,Petra,aktiv,MdL,CSU,Landtag,Bayern
Joumaah,Petra,aktiv,MdL,CDU,Landtag,Niedersachsen
Krebs,Petra,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Nicolaisen,Petra,aktiv,MdB,CDU,Bundestag,Schleswig-Holstein
Olschowski,Petra,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Pau,Petra,aktiv,MdB,Linke,Bundestag,Berlin
Sitte,Petra,aktiv,MdB,Linke,Bundestag,Sachsen-Anhalt
Tiemann,Petra,aktiv,MdL,SPD,Landtag,Niedersachsen
Vogt,Petra,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Krämer,Philip,aktiv,MdB,Grüne,Bundestag,Hessen
Amthor,Philipp,aktiv,MdB,CDU,Bundestag,Mecklenburg-Vorpommern
Fernis,Philipp,aktiv,MdL,FDP,Landtag,Rheinland-Pfalz
Hartewig,Philipp,aktiv,MdB,FDP,Bundestag,Sachsen
Raulfs,Philipp,aktiv,MdL,SPD,Landtag,Niedersachsen
Hinz,Priska,aktiv,MdL,Grüne,Landtag,Hessen
Saleh,Raed,aktiv,MdL,SPD,Landtag,Berlin
Deppe,Rainer,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Dulger,Rainer,extern,Unternehmer,CDU,Landtag,Baden-Württemberg
Keller,Rainer Johannes,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Kraft,Rainer,aktiv,MdB,AfD,Bundestag,Bayern
Ludwig,Rainer,aktiv,MdL,Freie Wähler,Landtag,Bayern
Matheisen,Rainer,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Podeswa,Rainer,aktiv,MdL,AfD,Landtag,Baden-Württemberg
Semet,Rainer,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Spiecker,Rainer,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Bartelt,Ralf-Norbert,aktiv,MdL,CDU,Landtag,Hessen
Nentwich,Ralf,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Stadler,Ralf,aktiv,MdL,AfD,Landtag,Bayern
Stegner,Ralf,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Witzel,Ralf,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Brinkhaus,Ralph,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Edelhäußer,Ralph,aktiv,MdB,CSU,Bundestag,Bayern
Lenkert,Ralph,aktiv,MdB,Linke,Bundestag,Thüringen
Nasr,Rasha,aktiv,MdB,SPD,Bundestag,Sachsen
Schamber,Rebecca,aktiv,MdB,SPD,Bundestag,Niedersachsen
Seidler,Rebecca,extern,Vorsitzende der Liberalen Jüdischen Gemeinde Hannover,FDP,Landtag,Niedersachsen
Alabali-Radovan,Reem,aktiv,MdB,SPD,Bundestag,Mecklenburg-Vorpommern
Kopp-Herr,Regina,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Hanke,Reginald,aktiv,MdB,FDP,Bundestag,Thüringen
Neugebauer,Reimund,extern,Präsident der Fraunhofer-Gesellschaft,CDU,Landtag,Sachsen
Haseloff,Reiner,aktiv,MdL,CDU,Landtag,Sachsen-Anhalt
Hoffmann,Reiner,extern,DGB-Vorsitzender,SPD,Landtag,Nordrhein-Westfalen
Brandl,Reinhard,aktiv,MdB,CSU,Bundestag,Bayern
Houben,Reinhard,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Hilbers,Reinhold,aktiv,MdL,CDU,Landtag,Niedersachsen
Pix,Reinhold,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Demirkan,Renan,extern,Schriftstellerin und Schauspielerin,SPD,Landtag,Nordrhein-Westfalen
Alt,Renata,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Künast,Renate,aktiv,MdB,Grüne,Bundestag,Berlin
Aust,René,aktiv,MdL,AfD,Landtag,Thüringen
Bochmann,René,aktiv,MdB,AfD,Bundestag,Sachsen
Domke,René,aktiv,MdL,FDP,Landtag,Mecklenburg-Vorpommern
Rock,René,aktiv,MdL,FDP,Landtag,Hessen
Schneider,René,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Springer,René,aktiv,MdB,AfD,Bundestag,Brandenburg
Sahin,Reyhan,extern,Rapperin und Autorin,Linke,Landtag,Bremen
Schröder,Ria,aktiv,MdB,FDP,Bundestag,Hamburg
Lang,Ricarda,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Lange,Ricardo,extern,Intensivpfleger,Linke,Landtag,Berlin
Graupner,Richard,aktiv,MdL,AfD,Landtag,Bayern
Hagl-Kehl,Rita,aktiv,MdB,SPD,Bundestag,Bayern
Schwarzelühr-Sutter,Rita,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Brannekämper,Robert,aktiv,MdL,CSU,Landtag,Bayern
Farle,Robert,aktiv,MdB,AfD,Bundestag,Sachsen-Anhalt
Habeck,Robert,aktiv,MdB,Grüne,Bundestag,Schleswig-Holstein
Kenzler,Robert,extern,Pfleger,SPD,Landtag,Brandenburg
Mesarosch,Robin,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Wagener,Robin,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Kiesewetter,Roderich,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Beckamp,Roger,aktiv,MdB,AfD,Bundestag,Nordrhein-Westfalen
Lewentz,Roger,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Kaiser,Roland,extern,Sänger,SPD,Landtag,Mecklenburg-Vorpommern
Koch,Roland,extern,Ministerpräsident a. D.,CDU,Landtag,Hessen
