ort,index,land,lon,lat
Ueckermünde,1,Mecklenburg-Vorpommern,14.0360787,53.7360433
Schwerin,1,Mecklenburg-Vorpommern,11.4012499,53.6355022
Goldberg,1,Mecklenburg-Vorpommern,12.0857297,53.5900958
Trollenhagen,1,Mecklenburg-Vorpommern,13.2893207,53.6073187
Waren (Müritz),1,Mecklenburg-Vorpommern,12.7505933,53.4904304
Boizenburg,1,Mecklenburg-Vorpommern,10.7206776,53.3802724
Grambow-Schwennenz,1,Mecklenburg-Vorpommern,14.3337289,53.4138275
Marnitz,1,Mecklenburg-Vorpommern,11.9278607,53.3181351
Feldberg/Mecklenburg,1,Mecklenburg-Vorpommern,13.431736,53.3335785
Cuxhaven,2,Niedersachsen,8.6879057,53.859336
Freiburg/Elbe,1,Niedersachsen,9.2879775,53.8238524
Nordholz,2,Niedersachsen,8.612098,53.7859
Norderney,2,Niedersachsen,7.143055,53.7078132
Steinau (Kreis Cuxhaven),1,Niedersachsen,8.881407,53.670668
Wangerland-Hooksiel,2,Niedersachsen,8.0257971,53.6307029
Borkum,2,Niedersachsen,6.7047312,53.593131
Mittelnkirchen-Hohenfelde,1,Niedersachsen,9.6093135,53.5516304
Wittmundhafen,1,Niedersachsen,7.6665946,53.5488548
Bremervörde,1,Niedersachsen,9.1399785,53.4871321
Emden,1,Niedersachsen,7.2060095,53.3594029
Rosengarten-Klecken,1,Niedersachsen,9.940138,53.363823
Worpswede-Hüttenbusch,1,Niedersachsen,8.9589364,53.2717233
Wendisch Evern,1,Niedersachsen,10.4700092,53.2154261
Rotenburg/Wümme,1,Niedersachsen,9.3868893,53.0852034
Friesoythe-Altenoythe,1,Niedersachsen,7.8785368,53.0368106
Lüchow,1,Niedersachsen,11.1503316,52.9664568
Soltau,1,Niedersachsen,9.842125,52.9846914
Dörpen,1,Niedersachsen,7.3419972,52.9679574
Uelzen,1,Niedersachsen,10.5580304,52.9658199
Großenkneten,1,Niedersachsen,8.2524538,52.9434787
Faßberg,1,Niedersachsen,10.1661575,52.8997766
Bassum,1,Niedersachsen,8.7286711,52.8505748
Bergen,1,Niedersachsen,9.9641638,52.8092281
Groß Berßen,1,Niedersachsen,7.494089,52.77462
Meppen,2,Niedersachsen,7.298065,52.69598
Nienburg,1,Niedersachsen,9.2084155,52.6380924
Wittingen-Vorhop,1,Niedersachsen,10.6602784,52.6432072
Celle,1,Niedersachsen,10.0628514,52.6175963
Diepholz,1,Niedersachsen,8.3707878,52.6056456
Alfhausen,1,Niedersachsen,7.9519799,52.500317
Hannover (Flughafen),1,Niedersachsen,9.6889919,52.4618486
Wunstorf,1,Niedersachsen,9.4432827,52.4207534
Wolfsburg,1,Niedersachsen,10.7865461,52.4226503
Barsinghausen-Hohenbostel,1,Niedersachsen,9.4323223,52.3192584
Belm,1,Niedersachsen,8.1284532,52.3043231
Braunschweig,1,Niedersachsen,10.5267696,52.2688736
Bückeburg,1,Niedersachsen,9.0521233,52.2592762
Helmstedt-Emmerstedt,1,Niedersachsen,10.9674763,52.2448788
Hameln-Hastenbeck,1,Niedersachsen,9.4192992,52.0767652
Liebenburg-Othfresen,1,Niedersachsen,10.3908667,52.0085301
Alfeld,1,Niedersachsen,9.8279123,51.9830185
Seesen,1,Niedersachsen,10.1798261,51.8914818
Bad Harzburg,1,Niedersachsen,10.5522144,51.8866888
Bevern (Kreis Holzminden),1,Niedersachsen,9.494029,51.857883
Braunlage,1,Niedersachsen,10.6104347,51.7249346
Moringen-Lutterbeck,1,Niedersachsen,9.8366353,51.7212489
Herzberg,1,Niedersachsen,10.3379685,51.6514495
Göttingen,1,Niedersachsen,9.9158035,51.5412804
Rahden-Kleinendorf,1,Nordrhein-Westfalen,8.6063414,52.4344286
Münster/Osnabrück (Flughafen),1,Nordrhein-Westfalen,7.6909441,52.1329347
Bad Salzuflen,1,Nordrhein-Westfalen,8.755622,52.0765185
Ahaus,1,Nordrhein-Westfalen,7.0150057,52.0825322
Bielefeld-Deppendorf,1,Nordrhein-Westfalen,8.4624525,52.0676116
Borken in Westfalen,1,Nordrhein-Westfalen,6.8594477,51.8482714
Lügde-Paenbruch,1,Nordrhein-Westfalen,9.2743853,51.867431
Ennigerloh-Ostenfelde,1,Nordrhein-Westfalen,8.0777465,51.8676361
Bad Lippspringe,1,Nordrhein-Westfalen,8.8159083,51.7837494
Lüdinghausen-Brochtrup,1,Nordrhein-Westfalen,7.5076415,51.7830163
Kleve,2,Nordrhein-Westfalen,6.12954,51.786726
Lippstadt-Bökenförde,1,Nordrhein-Westfalen,8.3940741,51.6409037
Waltrop-Abdinghof,1,Nordrhein-Westfalen,7.3980511,51.6013426
Werl,1,Nordrhein-Westfalen,7.9114426,51.5583773
Duisburg-Baerl,1,Nordrhein-Westfalen,6.6767794,51.4988831
Warburg,1,Nordrhein-Westfalen,9.14519,51.4899078
Geldern-Walbeck,1,Nordrhein-Westfalen,6.2397359,51.4979206
Arnsberg-Neheim,1,Nordrhein-Westfalen,7.9694283,51.4522612
Brilon-Thülen,1,Nordrhein-Westfalen,8.6418389,51.4169672
Essen-Bredeney,1,Nordrhein-Westfalen,7.0013063,51.4060522
Gevelsberg-Oberbröking,1,Nordrhein-Westfalen,7.3388053,51.3331622
Düsseldorf (Flughafen),1,Nordrhein-Westfalen,6.7667912,51.2876146
Tönisvorst,1,Nordrhein-Westfalen,6.4438452,51.3274683
Eslohe,1,Nordrhein-Westfalen,8.169605,51.2541269
Lüdenscheid,1,Nordrhein-Westfalen,7.63126,51.2191038
Wuppertal-Buchenhofen,1,Nordrhein-Westfalen,7.1039002,51.2247545
Kahler Asten,1,Nordrhein-Westfalen,8.4875,51.1805556
Lennestadt-Theten,1,Nordrhein-Westfalen,8.033253,51.1340367
Meinerzhagen-Redlendorf,1,Nordrhein-Westfalen,7.6314176,51.089273
Heinsberg-Schleiden,1,Nordrhein-Westfalen,6.1048122,51.0388653
Reichshof-Eckenhagen,1,Nordrhein-Westfalen,7.6924946,50.9904535
Köln-Stammheim,1,Nordrhein-Westfalen,6.9926124,50.9876373
Bad Berleburg-Stünzel,1,Nordrhein-Westfalen,8.359631,50.9803349
Geilenkirchen,1,Nordrhein-Westfalen,6.1174584,50.967168
Köln/Bonn (Flughafen),1,Nordrhein-Westfalen,7.1407344,50.8707168
Neunkirchen-Seelscheid-Krawinkel,1,Nordrhein-Westfalen,7.369362,50.8453951
Nörvenich,1,Nordrhein-Westfalen,6.6402649,50.8066888
Aachen-Orsbach,1,Nordrhein-Westfalen,5.9955801,50.7978761
Königswinter-Heiderhof,1,Nordrhein-Westfalen,7.193099,50.673972
Weilerswist-Lommersum,1,Nordrhein-Westfalen,6.7979998,50.7114203
Nideggen-Schmidt,1,Nordrhein-Westfalen,6.4126708,50.6603309
Kall-Sistig,1,Nordrhein-Westfalen,6.5182817,50.492564
Hilgenroth,1,Rheinland-Pfalz,7.6513703,50.7358785
Bad Marienberg,1,Rheinland-Pfalz,7.946191,50.6529429
Hümmerich,1,Rheinland-Pfalz,7.4963157,50.5679483
Bad Neuenahr-Ahrweiler,1,Rheinland-Pfalz,7.1197177,50.541815
Montabaur,1,Rheinland-Pfalz,7.8257953,50.4358385
Andernach,1,Rheinland-Pfalz,7.4086636,50.426057
Nürburg-Barweiler,1,Rheinland-Pfalz,6.9520304,50.3418803
Schneifelforsthaus,1,Rheinland-Pfalz,7.3089527,50.118346
Büchel,1,Rheinland-Pfalz,7.0834625,50.1729075
Manderscheid,2,Rheinland-Pfalz,6.8077296,50.091853
Blankenrath,1,Rheinland-Pfalz,7.3020905,50.0391222
Wahlbach bei Simmern,1,Rheinland-Pfalz,7.5955569,50.0009009
Mainz-Lerchenberg,2,Rheinland-Pfalz,8.1991405,49.9592389
Hahn,1,Rheinland-Pfalz,7.2706997,49.9632914
Olsdorf,1,Rheinland-Pfalz,6.3820842,49.9537167
Bad Kreuznach,2,Rheinland-Pfalz,7.8731346,49.8440162
Deuselbach,1,Rheinland-Pfalz,7.0548375,49.751332
Trier-Petrisberg,1,Rheinland-Pfalz,6.6670137,49.7543491
Trier,1,Rheinland-Pfalz,6.6371433,49.749992
Alzey,1,Rheinland-Pfalz,8.1171135,49.7462012
Idar-Oberstein,1,Rheinland-Pfalz,7.3071512,49.714528
Ruppertsecken,1,Rheinland-Pfalz,7.8811243,49.6451891
Worms,2,Rheinland-Pfalz,8.3507182,49.6341372
Bad Dürkheim,1,Rheinland-Pfalz,8.1654232,49.4598369
Kaiserslautern,1,Rheinland-Pfalz,7.7491265,49.4400657
Weinbiet,1,Rheinland-Pfalz,8.1216667,49.3761111
Pirmasens,1,Rheinland-Pfalz,7.6002161,49.201555
Bad Bergzabern,1,Rheinland-Pfalz,7.9998767,49.1003724
List auf Sylt,2,Schleswig-Holstein,8.4291796,55.019488
Glücksburg-Meierwik,2,Schleswig-Holstein,9.5077716,54.8294734
Leck,2,Schleswig-Holstein,8.9759886,54.7715331
Wagersrott,2,Schleswig-Holstein,9.7953017,54.6642059
Brodersby-Schönhagen,2,Schleswig-Holstein,10.0278709,54.6327005
Fehmarn,2,Schleswig-Holstein,11.132927,54.4700537
