land,country,continent,date,erste,ersterate,zweite,zweiterate,population
Slowakei,Slovakia,Europa,2021-01-20,     87062,1.59,2040,0.04,5460726
Slowenien,Slovenia,Europa,2021-01-20,     51322,2.47,5777,0.28,2078723
Südamerika,South America,Kontinent,2021-01-20,    402922,0.09,12766,0,434260137
Spanien,Spain,Europa,2021-01-20,   1010295,2.16,15642,0.03,46745211
Schweiz,Switzerland,Europa,2021-01-20,    141525,1.62,2688,0.03,8715494
Großbritannien,United Kingdom,Europa,2021-01-20,   4973248,7.29,464036,0.68,68207114
USA,United States,Nordamerika,2021-01-20,  18940549,5.7,3455159,1.04,332915074
Welt,World,Welt,2021-01-20,  38244848,0.49,5235682,0.07,7874965730
Costa Rica,Costa Rica,Nordamerika,2021-01-20,     29257,0.57,132,0,5139053
Niederlande,Netherlands,Europa,2021-01-20,     76959,0.45,1098,0.01,17173094
Schweden,Sweden,Europa,2021-01-20,    132292,1.3,559,0.01,10160159
VAE,United Arab Emirates,Asien,2021-01-20,    836568,8.37,250000,2.5,9991083
Argentinien,Argentina,Südamerika,2021-01-21,    249372,0.55,16352,0.04,45605823
Asien,Asia,Kontinent,2021-01-21,   4555601,0.1,1153910,0.02,4678444992
Österreich,Austria,Europa,2021-01-21,    193982,2.15,4322,0.05,9043072
Belgien,Belgium,Europa,2021-01-21,    209727,1.8,1402,0.01,11632334
Bulgarien,Bulgaria,Europa,2021-01-21,     20719,0.3,4532,0.07,6896655
Kanada,Canada,Nordamerika,2021-01-21,    702527,1.85,43701,0.11,38067913
Chile,Chile,Südamerika,2021-01-21,     56599,0.29,8372,0.04,19212362
Tschechien,Czechia,Europa,2021-01-21,    176676,1.65,9604,0.09,10724553
Dänemark,Denmark,Europa,2021-01-21,    167695,2.88,8457,0.15,5813302
Estland,Estonia,Europa,2021-01-21,     21837,1.65,2202,0.17,1325188
Europa,Europe,Kontinent,2021-01-21,  14428506,1.93,863973,0.12,748962983
Europa,European Union,Kontinent,2021-01-21,   7704586,1.72,391325,0.09,447189915
Frankreich,France,Europa,2021-01-21,    964917,1.43,688,0,67564251
Deutschland,Germany,Europa,2021-01-21,   1494981,1.78,167628,0.2,83900471
Griechenland,Greece,Europa,2021-01-21,    123667,1.19,2261,0.02,10370747
Ungarn,Hungary,Europa,2021-01-21,    138983,1.44,5815,0.06,9634162
Irland,Ireland,Europa,2021-01-21,    135980,2.73,1974,0.04,4982904
Israel,Israel,Asien,2021-01-21,   2500396,26.91,899135,9.68,9291000
Italien,Italy,Europa,2021-01-21,   1341183,2.22,34422,0.06,60367471
