land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24
Belgien,Belgium,Flanders,BE,BE2,117,201,184,101,67,55,47,35,27,18,14,12,10,9,13,22,40,62,74,65,52,46,48,69,109,141,167,290,546,938,1126,864,559,396,300,270,290,319,285,223,226,245,260
Belgien,Belgium,Région Wallone,BE,BE3,111,187,214,156,86,45,38,27,21,14,11,10,7,3,7,13,21,38,54,61,55,45,44,64,139,211,303,697,1413,2353,2874,2180,1184,666,423,322,273,286,248,190,199,224,223
Bulgarien,Bulgaria,Widin,BG,BG311,keine Daten,keine Daten,29,77,138,99,21,19,13,6,7,27,24,keine Daten,7,12,12,12,14,9,12,9,7,6,1,5,27,34,19,46,113,317,454,386,348,316,288,283,206,163,154,103,61
Bulgarien,Bulgaria,Montana,BG,BG312,keine Daten,keine Daten,-4,-2,5,5,2,1,0,0,1,1,2,keine Daten,9,-5,4,23,11,4,8,19,26,33,31,36,54,85,127,212,310,508,610,618,561,420,390,282,143,118,128,83,43
Bulgarien,Bulgaria,Wraza,BG,BG313,keine Daten,keine Daten,1,2,5,5,2,2,2,0,1,2,8,keine Daten,17,17,12,16,18,8,5,5,2,7,13,18,25,45,98,200,309,452,557,560,586,602,620,546,337,253,247,167,118
Bulgarien,Bulgaria,Plewen,BG,BG314,keine Daten,0,12,52,56,25,15,10,4,4,18,20,11,keine Daten,32,22,12,22,22,22,13,8,3,3,9,10,15,23,67,139,194,317,463,564,549,464,454,401,273,211,204,155,123
Bulgarien,Bulgaria,Lowetsch,BG,BG315,keine Daten,2,0,0,0,0,0,2,2,2,6,6,4,keine Daten,10,14,6,4,9,11,10,6,4,3,4,11,18,28,79,141,199,287,365,408,416,372,383,377,251,188,148,81,66
Bulgarien,Bulgaria,Weliko Tarnowo,BG,BG321,keine Daten,keine Daten,3,5,6,1,0,2,1,0,1,2,4,keine Daten,45,67,40,19,14,16,10,6,4,6,9,11,17,38,64,106,141,250,393,421,433,461,460,368,193,120,120,72,51
Bulgarien,Bulgaria,Gabrowo,BG,BG322,0,1,1,2,4,2,1,2,1,1,6,6,3,keine Daten,16,31,72,77,45,33,11,2,2,7,20,65,90,74,156,293,437,712,1046,1098,1017,863,586,442,246,98,116,94,48
Bulgarien,Bulgaria,Russe,BG,BG323,keine Daten,keine Daten,1,3,5,1,1,1,0,0,0,0,5,keine Daten,25,35,38,63,47,15,19,19,26,28,14,18,24,36,93,232,411,619,796,810,755,704,655,553,356,228,187,121,88
Bulgarien,Bulgaria,Rasgrad,BG,BG324,keine Daten,0,0,0,1,4,11,9,5,17,22,13,22,keine Daten,43,32,13,11,26,27,9,8,15,13,6,10,25,75,136,216,321,416,449,393,335,285,289,294,168,83,72,53,50
Bulgarien,Bulgaria,Silistra,BG,BG325,keine Daten,keine Daten,0,3,3,1,1,0,0,-1,-1,0,0,keine Daten,8,14,20,25,28,51,50,34,37,27,17,27,33,33,49,63,122,255,498,691,621,526,459,329,195,165,164,140,108
Bulgarien,Bulgaria,Varna,BG,BG331,keine Daten,3,0,0,0,0,0,0,0,0,0,3,12,keine Daten,45,71,76,88,86,62,35,24,27,28,25,25,36,65,94,169,285,455,613,711,753,740,727,578,337,239,215,129,76
Bulgarien,Bulgaria,Dobritsch,BG,BG332,3,3,1,0,0,0,0,0,0,1,3,3,1,keine Daten,33,63,89,134,150,121,105,79,42,33,21,22,32,56,66,64,92,146,235,414,470,379,380,341,260,207,156,114,64
Bulgarien,Bulgaria,Schumen,BG,BG333,keine Daten,keine Daten,0,0,0,0,0,2,5,12,52,50,20,keine Daten,24,17,8,4,15,34,37,27,19,19,19,23,43,79,172,331,419,480,516,500,443,416,403,318,219,191,184,126,114
Bulgarien,Bulgaria,Targowischte,BG,BG334,keine Daten,0,0,0,0,1,1,0,0,0,5,6,4,keine Daten,12,13,5,5,12,11,20,23,16,18,24,83,133,142,323,496,457,396,348,281,236,198,178,170,163,133,93,64,33
Bulgarien,Bulgaria,Burgas,BG,BG341,4,4,3,5,2,1,1,0,0,1,1,2,14,keine Daten,31,34,28,20,15,13,11,10,24,37,29,55,71,69,118,166,194,318,504,590,636,711,753,576,278,159,180,162,124
Bulgarien,Bulgaria,Sliwen,BG,BG342,keine Daten,5,8,17,18,8,9,12,16,32,48,44,38,keine Daten,62,54,25,22,20,17,8,4,12,22,18,21,36,96,208,241,213,321,399,448,593,639,670,576,306,185,170,130,128
Bulgarien,Bulgaria,Jambol,BG,BG343,keine Daten,keine Daten,3,8,26,54,59,53,42,22,13,13,14,keine Daten,24,26,32,33,29,24,33,39,24,38,44,62,80,79,90,138,177,301,492,521,776,876,660,521,299,195,164,93,59
Bulgarien,Bulgaria,Stara Sagora,BG,BG344,keine Daten,keine Daten,8,4,2,1,-4,0,4,0,15,19,9,keine Daten,25,28,25,27,20,24,26,23,28,37,38,47,62,78,125,196,263,412,548,667,755,711,617,443,223,149,157,113,94
Bulgarien,Bulgaria,Sofia,BG,BG412X,keine Daten,19,15,15,13,10,13,11,7,1,6,17,23,keine Daten,81,102,61,42,35,29,20,18,21,24,22,31,92,143,205,417,657,948,1053,912,759,597,503,363,212,163,158,127,105
Bulgarien,Bulgaria,Blagoewgrad,BG,BG413,-17,5,1,8,14,15,10,13,12,6,7,8,12,keine Daten,53,74,92,112,123,121,88,74,88,108,90,107,114,153,228,303,403,584,732,703,586,533,486,345,198,119,124,114,79
Bulgarien,Bulgaria,Pernik,BG,BG414,keine Daten,0,0,2,9,10,7,3,1,13,13,7,12,keine Daten,27,36,35,34,36,28,17,14,8,12,12,21,34,52,98,215,394,616,708,740,733,596,556,473,290,225,216,148,97
Bulgarien,Bulgaria,Kjustendil,BG,BG415,keine Daten,keine Daten,13,37,45,18,11,7,2,3,21,66,108,keine Daten,165,150,87,71,42,21,23,25,19,13,12,19,27,33,58,153,278,578,965,1091,1014,853,647,431,239,175,180,146,169
